特賞フラグ,特賞名,代表者,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
1,農林水産大臣賞,磯部　雅広,127901,CYM ﾋﾟｭｱﾌﾗﾜｰ'ｺｲﾉﾖｶﾝ',8,,愛知県
2,生産局長賞,篠田　浩明,127469,ﾎﾟｲﾝ'ｱﾄﾗﾝﾃｨｯｸ ｱｰﾘｰﾚｯﾄﾞ',4,,愛知県
3,東海農政局長賞,小久保　高浩,126571,ｼｸﾗﾒﾝ(F1),5,,愛知県
4,愛知県知事賞（豊明花き社長賞）,蟹江　稔久,127300,CYM ﾌｧｲｱｰﾋﾞﾚｯｼﾞ'ﾜｲﾝｼｬﾜｰ',7,,愛知県
5,岐阜県知事賞(豊成会会長賞),水野　賢治,128051,CYM 'ﾊﾅﾂﾑｷﾞ',5,,岐阜県
6,三重県知事賞(豊和会会長賞),伊藤　幸一,590658,ﾎﾟｲﾝ'ﾌﾘｰﾀﾞﾑ'(ｼﾘｰｽﾞ),3,,三重県
7,名古屋市長賞,後藤　昭辞,127706,ﾌﾟﾘﾝｾﾁｱ(ｼﾘｰｽﾞ),7,,愛知県
8,豊明市長賞,伊藤　正規,127567,CYM ﾛﾏﾝﾃｨｯｸﾗﾌﾞ'ﾃﾝｼﾉｸﾁﾂﾞｹ,7,,愛知県
9,愛知県経済農業協同組合連合会会長賞,磯部　徳松,127891,CYM 'ｼｵｻｲﾉﾒﾓﾘｰ',8,,愛知県
10,愛知県花き温室園芸組合連合会会長賞,尾崎　幹憲,122290,PHAL ｽｲｰﾄﾊｰﾄ,8,,愛知県
11,岐阜県園芸特産振興会会長賞,三浦　綱彦,127796,ﾊﾟｽﾃﾙｹｲｼｸﾗﾒﾝ,5,,岐阜県
12,三重県花植木振興会会長賞,一見　次郎,128677,CYM ﾊｰﾌﾑｰﾝ'ﾜﾝﾀﾞｰﾗﾝﾄﾞ',6,,三重県
13,NHK名古屋放送局長賞(奨励賞),河合　幹雄,126598,ﾌﾟﾘﾝｾﾁｱ(ﾔｴ),4,,愛知県
14,豊明市商工会会長賞,渡辺　邦通,127256,ﾎﾟｯﾄﾏﾑ'ﾏｳﾝﾄｵｰﾋﾞｽｸ',5,,愛知県
16,(公社)園芸文化協会会長賞,吉原　克己,127353,ﾁｪｯｶｰﾍﾞﾘｰ(G.ﾌﾟﾛｸﾝﾍﾞﾝｽ),7,,愛知県
17,ＮＨＫ出版賞,岡田　正人,126600,CYM ｱﾄﾘ,8,,愛知県
18,東海地域花き普及･振興協議会会長賞,神野　行生,128314,CYM 'ﾔｿｳｷｮｸ',7,,愛知県
19,愛知豊明花き流通(協)理事長賞,太田　浩史,126565,ｼｸﾗﾒﾝ'ﾋﾟﾝｷｰ',4,,愛知県
20,日本植物運輸(株)社長賞,加古　邦博,589915,ONC ｼｬﾘｰB.'ｽｲｰﾄﾌﾗｸﾞﾗﾝｽ',8,,愛知県
93,（株）花卉園芸新聞社賞,大岩　辰男,127930,ｼｪﾌﾚﾗ A.'ﾊｯﾋﾟｰｲｴﾛｰ',7,,愛知県
94,（株）誠文堂新光社「農耕と園芸」賞,小笠原　和英,127111,CYM 'ﾐﾏｼﾞｪﾝﾇ',6.5,,愛知県
95,（株）草土出版賞,倉橋　逹己,126323,CYM ﾋﾞﾋﾞｱﾝ,7,,愛知県
502,努力賞,佐野　豪一,126603,DEN ｻﾏｰﾅｲﾄﾄﾞﾘｰﾑ'ｻﾁ',5,,三重県
