特賞フラグ,特賞名,代表者,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
1,生産局長賞（品評会大賞）(花の部賞),橋本　悦郎,132934,ﾐﾆｼｸﾗﾒﾝ,2,35,福島県
2,東海農政局長賞,西山　正一,132578,ｷﾝｷﾞｮｿｳ'ｷｬﾝﾃﾞｨｰﾄｯﾌﾟｽ',3.5,24,愛知県
3,愛知県知事賞,麻野間　秀一,133107,ﾐﾆｼｸ'ｶｰﾙ',3,12,愛知県
4,岐阜県知事賞,小林　錦司,133969,ﾋﾞｵﾗ(ｵﾚﾝｼﾞ),3,28,岐阜県
5,三重県知事賞,桐生　悦夫,596107,ﾋﾞｵﾗ'ﾓﾓｶ'(ｼﾘｰｽﾞ),4,11,三重県
6,静岡県知事賞,田中　利彦,133668,ﾊﾟﾝｼﾞｰ,3.5,24,静岡県
7,埼玉県知事賞,飯塚　和彦,132751,ﾌﾟﾘﾑﾗ J.'ﾓﾝｼｭｼｭ',3,15,埼玉県
8,山形県知事賞,飯野　正,132976,ﾊﾎﾞﾀﾝ'ﾌｧｰｽﾄﾚﾃﾞｨ',3.5,20,山形県
9,名古屋市長賞(観葉・観賞樹・その他の部賞),大岩　輝和,133016,ﾊﾂﾕｷｶｽﾞﾗ,3,24,愛知県
10,豊明市長賞,藤井　則雄,133586,ｽｲｰﾄｱﾘｯｻﾑ'ｲｰｽﾀｰﾎﾞﾈｯﾄ',3,28,愛知県
11,愛知県花き温室園芸組合連合会会長賞(ラベル・ポップ賞),横井　直美,132450,ﾋﾞｵﾗ(ﾚﾓﾝ),3,24,愛知県
12,岐阜県園芸特産振興会会長賞,本田　元治,134440,ﾋﾞｵﾗ,3.5,15,岐阜県
13,三重県花植木振興会会長賞,藤井　保之,133796,ﾌｨｶｽ ﾌﾟﾐﾗ,3.5,20,三重県
14,静岡県鉢物生産振興会会長賞,田村　茂,134963,ﾊｰﾌﾞ,3,28,静岡県
15,埼玉県花き園芸組合連合会会長賞,三ツ木　善洋,132692,ｼﾛﾀｴｷﾞｸ(ﾀﾞｽﾃｨｰﾐﾗｰ),3.5,24,埼玉県
16,山形県鉢物協議会会長賞,小松　武,132982,ﾊﾎﾞﾀﾝ(ｵﾄﾞﾘ),3.5,24,山形県
17,(公社)園芸文化協会会長賞,長尾　安博,134581,ﾊﾎﾞﾀﾝ'ﾙｼｰﾙ'(ﾗﾌﾞﾗﾌﾞ),2.5,24,兵庫県
18,ＮＨＫ名古屋放送局長賞,大石　良一,133888,ｷﾞｮﾘｭｳﾊﾞｲ,3.5,20,長野県
19,ＮＨＫ出版賞,朝見　良治,132325,ｲﾍﾞﾘｽ'ｽﾉｰｻｰﾌｧｰ ﾎﾜｲﾄ',3.5,20,埼玉県
20,(株)花卉園芸新聞社賞,岡田　健志,132526,ﾊﾎﾞﾀﾝ(ｵﾄﾞﾘ),3.5,15,兵庫県
21,(株)草土出版賞,竹村　初美,134945,ｶﾙｰﾅ ﾌﾞﾙｶﾞﾘｽ,2.5,24,長野県
22,(株)誠文堂新光社「農耕と園芸」賞,安田　秀幸,132682,ﾈﾒｼｱ'ｽｲｰﾄ ﾚﾓﾝｽｶｯｼｭ',3.5,24,埼玉県
23,(株)ナカヤマ賞,小河原　芳章（ＪＡほくさい）,132234,ﾌﾟﾘﾑﾗ P.'ﾍﾞﾗﾘｰﾅ'(ｼﾘｰｽﾞ),3.5,15,埼玉県
24,フォルツァ(株)賞,岡本　尚之,132612,ﾐﾆｼｸ'ｽｰﾊﾟｰﾍﾞﾗﾉ',3.5,20,千葉県
25,丸種絵袋(株)賞,渡辺　邦通,132559,ｶｸﾃﾙﾏﾑ'ｽﾄﾘｰﾑﾋﾟﾝｸﾊﾞｲｶﾗｰ',3.5,24,愛知県
26,(一社)日本ハンギングバスケット協会理事長賞,森川　忠雄,134399,ﾊﾎﾞﾀﾝ'ﾍﾞﾙｻｲﾕ ﾌﾞﾗｯｸﾙｼｱﾝ',3,24,京都府
27,日本ガーデンデザイナー協会会長賞,田島　嶽,132677,ﾐﾆｼｸ'ｼﾞｯｸｽ'(ｼﾘｰｽﾞ),3,15,埼玉県
28,豊明市商工会会長賞,鈴木　武志,133573,ﾋﾞｵﾗ'ﾃﾞｨｰｼﾞｪｲ ﾛｰｽﾞﾋﾟﾝｸ',3.5,15,愛知県
29,東海地域花き普及・振興協議会会長賞,吉岡　麗子,132696,ﾎﾟｲﾝｾﾁｱ,3,15,埼玉県
30,愛知豊明花き流通協同組合理事長賞,落合　敬一（ＪＡいるま野）,132775,ｼｭｯｺﾝﾈﾒｼｱ,3.5,24,埼玉県
31,豊成会会長賞,伊藤　功,132203,ｶﾛｹﾌｧﾙｽ'ｼﾙﾊﾞｰﾌﾞｯｼｭ',3,24,愛知県
32,豊和会会長賞,天野　福夫,132643,ﾊﾟﾝｼﾞｰ'ﾌﾜﾌﾘﾙ',3.5,24,神奈川県
33,豊明花き(株)社長賞,松村　和広,132630,ｸﾘｽﾏｽﾛｰｽﾞ,3.5,15,東京都
34,日本植物運輸(株)社長賞,新井　信明,132760,ﾊﾎﾞﾀﾝ'ﾐﾂｺﾛｲﾔﾙ'(ﾏﾙﾊﾞ),3.5,15,群馬県
504,ラベル・ポップ賞,石川　英隆,132658,ﾋﾞｵﾗ'ﾌﾚﾐｯｼｭﾗﾊﾟﾝ',3.5,20,愛知県
