特賞フラグ,特賞名,代表者,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
1,生産局長賞(品評会大賞),早川　尚毅,573016,ｶﾞｻﾞﾆｱ'ｼﾙﾊﾞｰﾌｫｯｸｽ',3.5,15,愛知県
2,東海農政局長賞,鈴木　寿久,572982,ﾍﾟﾁｭﾆｱ'ﾋﾞﾊﾞ'(ｼﾘｰｽﾞ),3.5,20,愛知県
3,愛知県知事賞,大竹　敏幸,225100,ﾊﾞｰﾍﾞﾅ'ｵﾌﾞｾｯｼｮﾝ',3,28,愛知県
4,岐阜県知事賞,浅野　寿晴,225991,ﾛｰﾀﾞﾝｾﾏﾑ'ｸﾚｰﾙ ﾛｰｽﾞ',3,24,岐阜県
5,三重県知事賞,里邨　守彦,225458,ｱﾙﾒﾘｱ,3,15,三重県
6,静岡県知事賞,内田　茂隆,224829,ﾍﾟﾁｭﾆｱ'ﾃﾞｭｵ'(ﾔｴ),3.5,15,静岡県
7,埼玉県知事賞,小河原　正純（ＪＡほくさい）,223834,ｱﾙﾒﾘｱ'ｼｬﾙﾑﾙﾋﾞｰ',3,24,埼玉県
9,名古屋市長賞,渡会　祥三,224015,ｺﾌﾟﾛｽﾏ,3,24,愛知県
10,豊明市長賞,梅村　庄治,225559,ﾏﾘｰｺﾞｰﾙﾄﾞ'ﾏﾘｰﾁｬﾝ',2.5,24,愛知県
11,愛知県花き温室園芸組合連合会長賞,黒柳　晃,223718,ﾘｼﾏｷｱ A.'ﾎﾞｰｼﾞｮﾚｰ',4.5,12,愛知県
12,岐阜県園芸特産振興会長賞,吉田　正博,566606,ｶﾞｰﾍﾞﾗ(ﾐﾆ),3,24,岐阜県
13,三重県花植木振興会長賞,徳丸　昇,566625,ﾍﾞﾛﾆｶ'ｸﾞﾚｰｽ',3,28,三重県
14,静岡県鉢物生産振興会長賞,杉山　光伸,225205,ﾃﾞﾙﾌｨﾆｳﾑ'ﾁｱﾌﾞﾙｰ',3.5,20,静岡県
15,埼玉県花き園芸組合連合会長賞,山下　信哉,223952,ﾃﾞｨｱｽｷｱ,3.5,20,埼玉県
17,(公社)園芸文化協会長賞,川村　一徳,223958,ｶﾘﾌﾞﾗｺｱ'ﾃｨﾌｫｼｰｱﾝﾃｨｰｸ'(ｼﾘ,3.5,24,栃木県
18,NHK名古屋放送局長賞,小林　孝之,223644,ｵﾚｶﾞﾉ'ﾐﾙﾌｨｰﾕﾘｰﾌ',2.5,24,埼玉県
19,NHK出版賞,矢澤　稔,223940,ｼﾚﾈ ﾕﾆﾌﾛｰﾗ'ﾅｯｷｰﾎﾜｲﾄ',2.5,24,埼玉県
20,㈱花卉園芸新聞社賞,新　智成,223950,ｶﾘﾌﾞﾗｺｱ'ｾﾚﾌﾞﾚｰｼｮﾝ',3.5,20,埼玉県
21,㈱誠文堂新光社｢農耕と園芸｣賞,河又　秀雄,223901,ﾕｰﾌｫﾙﾋﾞｱ(ｸｻﾊﾞ),3,24,栃木県
23,㈱ﾅｶﾔﾏ賞,光菅　豊,223895,ｷﾝｷﾞｮｿｳ'ﾌｫﾚｽﾄﾏﾘｱｰｼﾞｭ'(ﾌｲ,3.5,24,栃木県
24,ﾌｫﾙﾂｧ㈱賞,田中　俊助,223882,ﾊﾞｺﾊﾟ'ｺﾋﾟｱﾀﾞﾌﾞﾙ ﾋﾟﾝｸﾊﾟｰﾙ,3,24,埼玉県
25,丸種絵袋㈱賞,林　克二,225330,ｶﾗﾝｺｴ'QR.ｸﾗﾗ'(ﾋﾟﾝｸ),3.5,15,岐阜県
26,(一社)日本ﾊﾝｷﾞﾝｸﾞﾊﾞｽｹｯﾄ協会理事長賞,谷澤　正勝,223647,ﾏﾘｰｺﾞｰﾙﾄﾞ,3.5,15,神奈川県
27,日本ｶﾞｰﾃﾞﾝﾃﾞｻﾞｲﾅｰ協会長賞,平井　一広,225539,ﾍﾞｺﾞﾆｱ S.(ｾﾝﾊﾟｰﾌﾛｰﾚﾝｽ),3,40,奈良県
28,豊明市商工会長賞,フラワーガーデン　戸谷,224396,ﾍﾘｸﾘｻﾑ'ﾗｲﾑﾐﾆ',2.5,24,愛知県
29,東海地域花き普及・振興協議会長賞,新井　正芳（ＪＡほくさい）,223825,ｶｰﾈｰｼｮﾝ'ｱｲﾗﾌﾞﾕｰ',3.5,20,埼玉県
30,愛知豊明花き流通協同組合理事長賞,田島　達夫,223939,ｱｹﾞﾗﾀﾑ'ﾌﾞﾙｰﾀﾞﾆｭｰﾌﾞ',3.5,24,埼玉県
31,豊成会会長賞,青木　健,224674,ﾃﾞﾙﾌｨﾆｳﾑ,3.5,20,長野県
32,豊和会会長賞,佐藤　修司,222934,ｲﾝｸﾞﾘｯｼｭﾗﾍﾞﾝﾀﾞｰ(ｱﾝｸﾞｽﾃｨﾌ,4,15,岩手県
33,豊明花き㈱社長賞,安田　秀幸,223909,ｹｲﾄｳ'ｷﾓﾉ',3.5,24,埼玉県
34,日本植物運輸㈱社長賞,岩下　次夫,223858,ﾍﾟﾗﾙｺﾞ'ｼｮｳﾅﾝ',3,24,群馬県
