特賞フラグ,特賞名,代表者,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
1,農林水産大臣賞,坂野　啓三,392965,CYM ﾗﾌﾞﾘｰA.'ｻﾞﾂｰﾊﾞｰｼﾞﾝｽﾞ,8,1,愛知県
2,生産局長賞,岡田　幸雄,391983,ﾎﾟｲﾝ'ﾋﾞｼﾞｮﾝｵﾌﾞｸﾞﾗﾝﾃﾞｰﾙ',5,5,愛知県
3,東海農政局長賞,佐野　豪一,387536,DEN ｻﾏｰﾅｲﾄﾄﾞﾘｰﾑ'ｻﾁ',7,2,三重県
4,愛知県知事賞(豊明花き㈱社長賞),伊藤　正規,385625,CYM ﾛﾏﾝﾃｨｯｸﾗﾌﾞ'ﾃﾝｼﾉｸﾁﾂﾞｹ,7,1,愛知県
5,岐阜県知事賞(豊成会会長賞),福田　誠,391528,ｾﾝﾄﾎﾟｰﾘｱ,3.5,12,岐阜県
6,三重県知事賞（豊和会会長賞）,森戸　勝美,393503,ﾌﾟﾘﾑﾗ ﾏﾗｺｲﾃﾞｽ,4,11,三重県
7,名古屋市長賞,鳥山　和義,392119,ﾌﾟﾘﾝｾﾁｱ(ｼﾘｰｽﾞ),3,15,愛知県
8,豊明市長賞,早川　辰雄,392178,ﾐﾆｼｸﾗﾒﾝ,4,6,愛知県
9,愛知県経済農業協同組合連合会会長賞,篠田　浩明,393467,ﾎﾟｲﾝ'P.ｱｲｽｸﾘｽﾀﾙ',7,1,愛知県
10,愛知県花き温室園芸組合連合会会長賞,近藤　金也,390808,CYM ｻﾗｼﾞｰﾝ'ｱｲｽｷｬｽｹｰﾄﾞ',6,1,愛知県
11,岐阜県園芸特産振興会会長賞,三浦　綱彦,393028,ｼｸﾗﾒﾝ'ﾋﾗﾘ'(ｼﾘｰｽﾞ),6,1,岐阜県
12,三重県花植木振興会会長賞,山北　敬次,393539,ﾌﾟﾘﾝｾﾁｱ(ｼﾘｰｽﾞ),5,5,三重県
13,ＮＨＫ名古屋放送局長賞,山口　義博,393434,ﾎﾟｲﾝ'ﾌﾟﾘﾏｳﾞｪﾗ',4,8,愛知県
14,豊明市商工会会長賞,西尾　昌直,394072,ﾁｪｯｶｰﾍﾞﾘｰ(G.ﾌﾟﾛｸﾝﾍﾞﾝｽ),5,4,愛知県
15,(公社)園芸文化協会会長賞,永井　一隆,392204,ﾎﾟｲﾝ'ｼﾞｪｽﾀｰ'(ｼﾘｰｽﾞ),6,3,愛知県
16,ＮＨＫ出版賞,後藤　昭辞,392184,ﾌﾟﾘﾝｾﾁｱ'ﾛｰｻﾞ'(ﾔｴ),6,1,愛知県
17,東海地域花き普及･振興協議会会長賞,渡辺　重明,393492,ﾎﾟｲﾝ'ｲﾀﾘｱﾝﾚｯﾄﾞ',8,1,愛知県
18,愛知豊明花き流通(協)理事長賞,加古　邦博,392597,ONC ｼｬﾘｰﾍﾞｲﾋﾞｰ,9,1,愛知県
19,日本植物運輸(株)社長賞,岡田　正人,392751,CYM 'ｼｮｳﾁｸﾊﾞｲ',8,1,愛知県
20,(株)誠文堂新光社｢農耕と園芸｣賞,小久保　高浩,391793,ｼｸﾗﾒﾝ(F1),5,4,愛知県
21,(株)草土出版賞,伊藤　勝久,394044,ｼｸﾗﾒﾝ,4,11,愛知県
