特賞フラグ,特賞名,代表者,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
50,品評会大賞(愛知豊明花き流通(協)理事長賞),立光　真一郎,221369,ｱﾝｽﾘｳﾑ A.'MF.ﾚｯﾄﾞ',9,2,長崎県
51,品評会準大賞,片岡　豊,223327,ﾎﾟﾄｽ'ｽﾃｰﾀｽ',7,1,静岡県
58,千葉県知事賞,高橋　繁之,223917,ﾌｨｶｽ ｱﾙﾃｼｰﾏ,8,1,千葉県
61,静岡県知事賞,大杉　崇記,224753,ﾊﾟｷﾗ ｱｸｱﾃｨｶ,10,1,静岡県
67,鹿児島県知事賞,下柳田　正人,219935,ﾎﾟﾘｼｬｽ S.'ﾌﾘｽﾋﾞｰ ｷﾗﾒｷ',10,1,鹿児島県
68,沖縄県知事賞,天久　学,219677,ﾌｨｶｽ ｱﾙﾃｼｰﾏ,7,1,沖縄県
69,指宿市長賞,柚木崎　健史,219925,ｼｪﾌﾚﾗ A.'ﾎﾝｺﾝ',10,1,鹿児島県
76,千葉県花き園芸組合連合会会長賞,井口　繁樹,223922,ｶﾘｽﾃﾓﾝ'ﾄﾞｰｿﾝﾘﾊﾞｰ',7,1,千葉県
79,静岡県鉢物生産振興会会長賞,榑林　達夫,224782,ｼｪﾌﾚﾗ A.'ﾎﾝｺﾝ',8,1,静岡県
84,鹿児島県花き振興会会長賞,弓指　隆男,219929,ﾕｯｶ ｴﾚﾌｧﾝﾃｨﾍﾟｽ,8,1,鹿児島県
85,沖縄県花き園芸協会会長賞,當山　安寿,219398,ﾌｨｶｽ E.'ｱﾎﾟﾛ',8,1,沖縄県
86,(一社)日本花き卸売市場協会会長賞,下川　正美,219663,ﾌｨｶｽ T.'ｽｲｰﾄﾊｰﾄ',5,6,福岡県
87,(一財)日本花普及センター会長賞,漢那　憲,219667,ﾌｨｶｽ E.'ﾊﾞｰｶﾞﾝﾃﾞｨ',8,1,沖縄県
88,愛知園芸商組合理事長賞,登川　良雄,219669,ﾌｨｶｽ'ﾅﾅ',7,1,沖縄県
89,屋内緑化推進協議会会長賞,島田　明彦,223693,ﾀﾆｸｼｮｸﾌﾞﾂ,2.5,20,群馬県
90,(公社)園芸文化協会会長賞,比嘉　悟,219675,ﾄﾞﾗｾﾅ C.(ｺﾝｼﾝﾅ),8,1,沖縄県
92,ＮＨＫ出版賞,山田　伊勢次,223966,ｱｶﾞﾍﾞ'ﾍﾞﾈｽﾞｴﾗ',10,1,群馬県
93,（株）花卉園芸新聞社賞,枝川　奏,219410,ﾕｯｶ ｴﾚﾌｧﾝﾃｨﾍﾟｽ,13,1,沖縄県
94,（株）誠文堂新光社「農耕と園芸」賞,島袋　真史,219387,ﾄﾞﾗｾﾅ C.'ﾄﾘｶﾗｰ',8,1,沖縄県
96,東海地域花き普及・振興協議会会長賞,若松　省冊,219685,ﾈﾑﾉｷ'ｴﾊﾞｰﾌﾚｯｼｭ',8,1,沖縄県
97,豊成会会長賞,島袋　静枝,219402,ﾄﾞﾗｾﾅ C.(ｺﾝｼﾝﾅ),13,1,沖縄県
98,豊和会会長賞,鈴木　義明,223924,ｼﾏﾄﾈﾘｺ,10,1,千葉県
99,豊明花き（株）社長賞,平野　晃久,566620,ﾚｯｸｽﾍﾞｺﾞﾆｱ'ﾋﾞﾘｰﾌ'(ｼﾘｰｽﾞ),4,11,千葉県
100,日本植物運輸（株）社長賞,福留　健一,219883,ﾌｨﾛﾃﾞﾝ'ﾎｰﾌﾟ',8,1,鹿児島県
