特賞フラグ,特賞名,代表者,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
1,農林水産大臣賞,山本　勲,263171,ｽﾄﾛﾏﾝﾃ ｻﾝｷﾞﾈｱ'ﾄﾘｵｽﾀｰ',7,1,愛知県
2,生産局長賞,鈴木　正吉,512776,ﾌｨｶｽ B.'ｽﾀｰﾗｲﾄBｸｲｰﾝ',7,2,愛知県
3,東海農政局長賞,舘　誠,263105,ｱｽﾌﾟﾚﾆｳﾑ N.'ﾌﾟﾘｶﾂﾑ ｱｶｷ',9,1,三重県
4,愛知県知事賞（豊明花き㈱社長賞）,小松　英雄,264453,ｱﾝｽﾘｳﾑ ｱﾝﾄﾞﾚｱﾅﾑ,8,1,愛知県
5,岐阜県知事賞(豊成会会長賞)(アイデア賞),高木　兼雄,264477,ｾﾗｷﾞﾈﾗ,4,11,岐阜県
6,三重県知事賞(豊和会会長賞),辻村　敏,263434,ﾄﾞﾗｾﾅ F.'ﾏｯｻﾝｹﾞｱｰﾅ',8,1,三重県
7,名古屋市長賞,石川　孝治,264411,ﾍﾟﾍﾟﾛﾐｱ ｶﾍﾟﾗｰﾀ'ﾛｯｿ',4,9,愛知県
8,豊明市長賞,花井　充,263114,ﾈｵﾚｹﾞﾘｱ'ﾌｧｲﾔｰﾎﾞｰﾙ',6.5,2,愛知県
9,愛知県経済農業協同組合連合会会長賞,鷲尾　昭夫,261252,ﾎﾟﾄｽ'ｴﾝｼﾞｮｲ',4,11,愛知県
10,愛知県花き温室園芸組合連合会会長賞,太田　雅彦,264469,ｱﾝｽﾘｳﾑ ｱﾝﾄﾞﾚｱﾅﾑ,4,12,愛知県
11,岐阜県園芸特産振興会会長賞,佐伯　有朋,263775,ｾﾀﾞﾑ,2.5,24,岐阜県
12,三重県花植木振興会会長賞,加藤　光雄,263092,ｱｽﾌﾟﾚﾆｳﾑ N.'ｱﾋﾞｽ',3.5,15,三重県
13,NHK名古屋放送局長賞,大岩　辰男,262549,ｼｪﾌﾚﾗ A.'ﾊｯﾋﾟｰｲｴﾛｰ',7,1,愛知県
14,豊明市商工会会長賞,皿井　喜清,263652,ﾄﾞﾗｾﾅ D.'ﾚﾓﾝﾗｲﾑ',10,1,愛知県
15,屋内緑化推進協議会会長賞,近藤　基美,262938,ｶﾗﾃｱ ﾏｺﾔﾅ,6,5,愛知県
16,(公社)園芸文化協会会長賞,千賀　伸夫,263894,ｸﾛﾄﾝ,4,11,愛知県
17,ＮＨＫ出版賞,河合　博孝,264660,ﾍﾃﾞﾗ ﾍﾘｯｸｽ,6,6,愛知県
18,東海地域花き普及･振興協議会会長賞,河合　康之,263598,ｱﾝｽﾘｳﾑ A.'ｼﾗﾉ',7,2,愛知県
19,愛知豊明花き流通(協)理事長賞,小坂井　巧,263241,ｶﾗﾃｱ'ﾄﾞｯﾃｨｰ',4.5,8,愛知県
20,日本植物運輸(株)社長賞,長島　昭彦,263125,ｱﾛｶｼｱ'ﾊﾞﾝﾋﾞｰﾉ',6,6,愛知県
94,（株）誠文堂新光社「農耕と園芸」賞,皿井　昌幸,263054,ｱﾝｽﾘｳﾑ A.'ﾒｲﾝ',10,1,愛知県
95,（株）草土出版賞,大林　智子,263162,ｻﾝｾﾍﾞﾘｱ'ﾐｶﾄﾞ',99,8,愛知県
