賞フラグ,特賞名,代表者名,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
20,品評会大賞(愛知豊明花き流通協同組合理事長賞),當山　安寿,434882,ﾄﾞﾗｾﾅ R.'ｿﾝｸﾞｵﾌﾞｲﾝﾃﾞｨｱ',10,1,沖縄県
21,品評会準大賞,天久　学,434880,ﾌｨｶｽ ｳﾝﾍﾞﾗｰﾀ,7,1,沖縄県
22,静岡県知事賞,岩倉　建太郎,442046,ｸﾛﾄﾝ'ｱｹﾎﾞﾉ',10,1,静岡県
23,千葉県知事賞,林　健一郎,441244,ﾌﾘｰｾｱ,10,1,千葉県
24,鹿児島県知事賞,福留　健一,435337,ｱﾚｶﾔｼ,10,1,鹿児島県
25,沖縄県知事賞,當間　隆,435153,ﾄﾞﾗｾﾅ C.(ｺﾝｼﾝﾅ),8,1,沖縄県
26,指宿市長賞,柚木崎　健史,435356,ｼｪﾌﾚﾗ A.'ﾄﾗｲﾈｯﾃｨ',10,1,鹿児島県
27,（一社）日本花き卸売市場協会会長賞,新井　保,441296,ｸﾞﾘｰﾝｱﾗﾚｱ,6,5,埼玉県
28,（一財）日本花普及センター会長賞,玉那覇　栄,435156,ﾄﾞﾗｾﾅ D.'ｺﾝﾊﾟｸﾀ',10,1,沖縄県
29,愛知園芸商組合理事長賞,平野　勝則,443266,ﾚｯｸｽﾍﾞｺﾞﾆｱ'ｲﾝｶﾌｧｲﾔｰ',7,1,千葉県
30,静岡県鉢物生産振興会会長賞,片岡　豊,441933,ｺｳﾓﾘﾗﾝ(ﾌﾟﾗﾃｨｾﾘｳﾑ ｱﾙｼｺﾙﾈ),99,6,静岡県
31,千葉県花き園芸組合連合会会長賞,高橋　繁之,441250,ｽﾄﾚﾘﾁｱ ｵｰｶﾞｽﾀ,8,1,千葉県
32,福岡県花き園芸連合会会長賞,波左間　廣美,440216,ｺｺﾔｼ,7,2,福岡県
33,鹿児島県花き振興会会長賞,広森　辰夫,435372,ｺﾙｼﾞﾘﾈ(ﾋﾟﾝｸ),10,1,鹿児島県
34,沖縄県花き園芸協会会長賞,枝川　奏,434884,ﾄﾞﾗｾﾅ R.'ｿﾝｸﾞｵﾌﾞｼﾞｬﾏｲｶ',10,1,沖縄県
35,(公社)園芸文化協会会長賞,小倉　敏雄,441246,ﾌｨｶｽ B.'ｽﾀｰﾗｲﾄ',8,1,群馬県
36,NPO法人 観葉植物開発普及協会会長賞,仲村　智昌,434893,ﾄﾞﾗｾﾅ R.'ｿﾝｸﾞｵﾌﾞｲﾝﾃﾞｨｱ',8,1,沖縄県
37,ＮＨＫ出版賞,大杉　芳克,442069,ﾊﾟｷﾗ ｱｸｱﾃｨｶ,10,1,静岡県
38,東海地域花き普及・振興協議会会長賞,井口　繁利,441223,ｻｸﾗｲﾛｶﾘｯｼｱ,3.5,15,千葉県
50,(株)花卉園芸新聞社賞,小村　幸一,435369,ﾊﾟｷﾗ ｱｸｱﾃｨｶ,8,1,鹿児島県
51,(株)誠文堂新光社「農耕と園芸」賞,石川　裕一,443551,ﾀﾆｸｼｮｸﾌﾞﾂ,2,40,静岡県
52,(株)草土出版社賞,杉野　雅彦,439123,ｼｭﾛﾁｸ,10,1,愛媛県
55,豊成会会長賞,王子田　逸雄,435325,ﾄﾞﾗｾﾅ R.(ﾘﾌﾚｸｻ),10,1,鹿児島県
56,豊和会会長賞,比嘉　勝夫,435163,ﾄﾞﾗｾﾅ C.(ｺﾝｼﾝﾅ),8,1,沖縄県
57,豊明花き（株）社長賞,島袋　勤,434876,ﾂﾋﾟﾀﾞﾝﾂｽ ｶﾘﾌﾟﾄﾗﾂｽ,7,1,沖縄県
58,日本植物運輸（株）社長賞,吉満　誠,435366,ﾄﾞﾗｾﾅ R.(ﾘﾌﾚｸｻ),10,1,鹿児島県
