特賞フラグ,特賞名,代表者,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
50,品評会大賞(愛知豊明花き流通(協)理事長賞),坂本　和盛,124096,ｼｸﾗﾒﾝ,7,,福岡県
51,品評会準大賞,高橋　学,126842,ﾐﾆｼｸ'ｳｨﾝｸ ｼｬﾜｰﾚｯﾄﾞ,5,,北海道
52,北海道知事賞,鹿討　成幸,127106,ﾍﾟﾙﾈﾃｨｱ'ﾊｯﾋﾟｰﾍﾞﾘｰ,4.5,,北海道
53,福島県知事賞,古市　利夫,126757,ﾎﾟｲﾝ'ﾊﾞｰﾆﾝｸﾞｴﾝﾊﾞｰ,5,,福島県
54,群馬県知事賞,須藤　裕政,127122,ﾍﾞｺﾞﾆｱ E.'ﾌﾟﾗﾑﾋﾟｱ,5,,群馬県
55,茨城県知事賞,大久保　三男,126816,ﾎﾟｲﾝ'ﾌｪﾗｰﾗ',5,,茨城県
56,栃木県知事賞,宇戸平　庄一郎,123294,PHAL ｽﾀｰｸﾞﾘｰﾝﾋﾞｭｰﾃｨNO.2,8,,栃木県
57,埼玉県知事賞,塩原　茂夫,126991,ﾌﾟﾘﾝｾﾁｱ'ﾛｰｻﾞ(ﾔｴ),4,,埼玉県
58,千葉県知事賞,林　健一郎,128159,ﾎﾟｲﾝ'ｱｲｽﾊﾟﾝﾁ,5,,千葉県
59,新潟県知事賞,長尾　恵美子,123938,ｾﾝﾘｮｳ,6,,新潟県
60,長野県知事賞,青木　秀行,128370,CYM ｱﾝｼﾞｪﾘｺ'ｱﾆﾊﾞｰｻﾘｰﾙｰｼﾞ,7,,長野県
61,静岡県知事賞,西浦　弘之,123204,CYM ﾌｧｲｱｰﾋﾞﾚｯｼﾞ'ﾜｲﾝｼｬﾜｰ',7,,静岡県
62,岡山県知事賞,林　英夫,126332,DEN ｽｲｰﾄｷｬﾝﾃﾞｨｰ,5,,岡山県
63,徳島県知事賞,佐野　円次,125715,CYM ｼﾝﾋﾞ ﾋﾟﾝｸ,6,,徳島県
64,高知県知事賞,公文　拓也,125640,CYM ﾙﾁｱｰﾉ'ﾏｲｳｻｷﾞ',6,,高知県
65,福岡県知事賞,波多江　吉徳,126003,CYM 'ｲﾄﾉｷﾜﾐ',7,,福岡県
66,宮崎県知事賞,近藤　邦浩,122402,PHAL ｿｰｺﾞﾕｷﾃﾞｨｱﾝ'V3',8,,宮崎県
70,北海道鉢花生産組合組合長賞,名内　正直,127114,ｸﾘｽﾏｽﾛｰｽﾞ ﾆｹﾞﾙ,5,,北海道
71,福島県鉢花生産者協議会会長賞,藤田　玄夫,126793,ﾎﾟｲﾝ'ｺﾞｰﾙﾄﾞ',5,,福島県
72,群馬県園芸協会会長賞,坂本　ティアムチャイ,127019,ﾐﾆｼｸ'ｳｨﾝｸ ﾎﾜｲﾄ',5,,群馬県
73,茨城県花き園芸協会会長賞,市村　正義,126818,ﾎﾟｲﾝ'ﾌｪﾗｰﾗ',5,,茨城県
74,(一社)とちぎ農産物ﾏｰｹﾃｨﾝｸﾞ協会会長賞,吉原　一成,127168,ｼｸﾗﾒﾝ,6,,栃木県
