特賞フラグ,特賞名,代表者,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
50,品評会大賞(愛知豊明花き流通(協)理事長賞),天久　学,256786,ﾌｨｶｽ ｱﾙﾃｼｰﾏ,7,1,沖縄県
51,品評会準大賞,仲村　智昌,256793,ﾈﾑﾉｷ'ｴﾊﾞｰﾌﾚｯｼｭ',12,1,沖縄県
58,千葉県知事賞,平野　勝則,262868,ﾚｯｸｽﾍﾞｺﾞﾆｱ'ﾋﾞﾘｰﾌ'(ｼﾘｰｽﾞ),6,3,千葉県
61,静岡県知事賞,片岡　豊,263292,ﾎﾟﾄｽ'ｽﾃｰﾀｽ',7,1,静岡県
67,鹿児島県知事賞,鎌ケ迫　浩,258325,ﾄｯｸﾘﾗﾝ'ﾎﾟﾆｰﾃｰﾙ',18,1,鹿児島県
68,沖縄県知事賞,島袋　勤,256781,ﾌｨｶｽ E.'ﾊﾞｰｶﾞﾝﾃﾞｨ',8,1,沖縄県
69,指宿市長賞,柚木崎　健史,258407,ｼｪﾌﾚﾗ A.'ﾊｯﾋﾟｰｲｴﾛｰ',8,1,鹿児島県
76,千葉県花き園芸組合連合会会長賞,高橋　繁之,262833,ﾌｨｶｽ ｳﾝﾍﾞﾗｰﾀ,10,1,千葉県
79,静岡県鉢物生産振興会会長賞,村松　厚一,263347,ｶﾝﾉﾝﾁｸ'ｱﾔﾆｼｷ',7,1,静岡県
84,鹿児島県花き振興会会長賞,田中　良枝,258518,ﾄﾞﾗｾﾅ R.'ｿﾝｸﾞｵﾌﾞｲﾝﾃﾞｨｱ',12,1,鹿児島県
85,沖縄県花き園芸協会会長賞,登川　良雄,262752,ﾌｨｶｽ'ﾅﾅ',8,1,沖縄県
86,(一社)日本花き卸売市場協会会長賞,進藤　貴一,262652,ｼｪﾌﾚﾗ ｱﾝｸﾞｽﾃｨﾌｫﾘｱ,8,1,埼玉県
87,(一財)日本花普及センター会長賞,王子田　逸雄,258432,ﾄﾞﾗｾﾅ D.'ｺﾝﾊﾟｸﾀ',10,1,鹿児島県
88,愛知園芸商組合理事長賞,中道　博文,258339,ｽﾄﾚﾘﾁｱ ｵｰｶﾞｽﾀ,8,1,鹿児島県
89,屋内緑化推進協議会会長賞,田原迫　正一,258342,ｱﾚｶﾔｼ,9,1,鹿児島県
90,(公社)園芸文化協会会長賞,杉本　佑貴,260762,ｱｽﾌﾟﾚﾆｳﾑ N.'ｴﾒﾗﾙﾄﾞｳｴｰﾌﾞ',5,8,福岡県
92,ＮＨＫ出版賞,冨田　実央,262658,ﾌﾞﾚｸﾅﾑ ｷﾞﾊﾞﾑ'ｼﾙﾊﾞｰﾚﾃﾞｨ',10,1,埼玉県
93,（株）花卉園芸新聞社賞,大城　理,257027,ﾄﾞﾗｾﾅ L.'ﾊﾟﾗｵ',10,1,沖縄県
96,東海地域花き普及・振興協議会会長賞,千田　智章,258421,ｼﾏﾄﾈﾘｺ,7,1,鹿児島県
97,豊成会会長賞,枝川　清,257032,ﾊｼﾗｻﾎﾞﾃﾝ,9,1,沖縄県
98,豊和会会長賞,加藤　升雄,263548,ﾌｨｯﾄﾆｱ,3,24,静岡県
99,豊明花き（株）社長賞,ＪＡいぶすき,262226,ｶﾞｼﾞｭﾏﾙ(ﾀｲﾜﾝ),7,1,鹿児島県
100,日本植物運輸（株）社長賞,渡辺　隆司,264995,ｸﾛﾎｳｼ,3.5,15,静岡県
