特賞フラグ,特賞名,代表者,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
1,農林水産大臣賞,篠田　浩明,494478,ﾎﾟｲﾝ'ｱﾄﾗﾝﾃｨｯｸ ｱｰﾘｰﾚｯﾄﾞ',4,8,愛知県
2,生産局長賞,服部　健治,488499,PHAL 'ﾗﾌﾞﾘｰｴﾌｪｸﾄ',4.5,5,愛知県
3,東海農政局長賞,氏原　ゆり,493588,ﾐﾆｼｸ'ﾌｪｱﾘｰﾋﾟｺﾌﾟﾁﾀﾞﾌﾞﾙ',5,5,愛知県
4,愛知県知事賞（豊成会会長賞）,坂野　啓三,536943,CYM ｴﾝｻﾞﾝｵﾍﾞﾛﾝ'ｼﾞｭﾚ',6,1,愛知県
5,岐阜県知事賞（豊和会会長賞）,三浦　綱彦,494546,ｼｸﾗﾒﾝ'ﾗﾃｨﾆｱ ﾌｧﾝﾌﾚｰﾑﾏｾﾞﾝﾀ,5,5,岐阜県
6,三重県知事賞(豊明花き㈱社長賞),森戸　勝美,493899,ﾌﾟﾘﾑﾗ ﾏﾗｺｲﾃﾞｽ,4,11,三重県
7,名古屋市長賞,平野　和実,493666,ﾌﾟﾘﾝｾﾁｱ(ｼﾘｰｽﾞ),2.5,20,愛知県
8,豊明市長賞,渡辺　邦通,493459,ｸﾘｻﾝｾﾏﾑ'ｼｬﾙﾒ'(ｼﾘｰｽﾞ),4,11,愛知県
9,愛知県経済農業協同組合連合会会長賞,宇佐美　竜雄,494671,ﾍﾞｺﾞﾆｱ E.(ﾘｰｶﾞｰｽﾍﾞｺﾞﾆｱ),5,3,愛知県
10,愛知県花き温室園芸組合連合会会長賞,小坂井　則雄,494469,ﾎﾟｲﾝｾﾁｱ,8,1,愛知県
11,岐阜県園芸特産振興会会長賞,河野　鉄博,492769,ﾎﾟｲﾝ'ｺﾞｰﾙﾄﾞ',5,6,岐阜県
12,三重県花植木振興会会長賞,山北　敬次,493942,ﾌﾟﾘﾝｾﾁｱ'ﾋﾟｭｱﾎﾜｲﾄ',5,5,三重県
13,ＮＨＫ名古屋放送局長賞,伊藤　正規,488763,CYM ﾐﾙｷｰｸｲｰﾝ'ﾌﾟﾛﾑﾅｰﾄﾞ',7,1,愛知県
14,豊明市商工会会長賞,山口　直己,494307,CYM ｴﾝｻﾞﾝｽﾌﾟﾘﾝｸﾞ'ﾊﾚﾙﾔ',8,1,愛知県
15,(公社)園芸文化協会会長賞,佐野　豪一,492572,PAPH ﾊﾟﾌｨｵ ｸﾞﾘｰﾝ,4,5,三重県
16,ＮＨＫ出版賞,鈴木　善之,494247,ﾃﾞﾝﾏｰｸｶｸﾀｽ(ﾆｼｮｸｳｴ),5.5,5,愛知県
17,東海地域花き普及･振興協議会会長賞,後藤　昭辞,494381,ﾌﾟﾘﾝｾﾁｱ'ﾛｰｻﾞ'(ﾔｴ),6,1,愛知県
18,愛知豊明花き流通(協)理事長賞,佐藤　亮,493628,ONC ｱﾛﾊｲﾜﾅｶﾞ,8,1,愛知県
19,日本植物運輸(株)社長賞,渡辺　重明,494464,ﾎﾟｲﾝ'P.ﾎﾟｰﾗｰ'(ｼﾛ),6,4,愛知県
74,(株)草土出版賞,,530970,ﾋﾞﾌﾞﾙﾅﾑ ﾃｨﾇｽ,5,5,愛知県
