特賞フラグ,特賞名,代表者,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
30,品評会大賞(愛知豊明花き流通(協)理事長賞),伊藤　洋一,446154,ｼｸﾗﾒﾝ'ﾊﾘｵｽ ﾌｧﾙﾊﾞﾗﾛｰｽﾞ',6,1,長野県
31,品評会準大賞,渡部　雅幸,445542,ﾊﾎﾞﾀﾝ'ﾌﾟﾗﾁﾅｹｰﾙ',10,1,福島県
32,北海道知事賞,高橋　学,445451,ｼｸﾗﾒﾝ'ﾛｰｾﾞｽ ﾛｰｽﾞ',6,1,北海道
33,福島県知事賞,藤田　玄夫,445584,ﾎﾟｲﾝ'ｺﾞｰﾙﾄﾞ',4,8,福島県
34,群馬県知事賞,峯崎　宏之,445309,ﾐﾆｼｸ'ﾌｪｱﾘｰﾋﾟｺ'(ｼﾘｰｽﾞ),6,1,群馬県
35,茨城県知事賞（アイデア賞）,小波　輝昌,445810,ｸﾚﾏﾁｽ ｱﾝｽﾝｴﾝｼｽ,10,1,茨城県
36,栃木県知事賞,宇戸平　庄一郎,445160,PHAL ｼﾞｭﾝﾊﾞｵﾌｪｱﾘｰ,10,1,栃木県
37,埼玉県知事賞,塩原　茂夫,445376,ﾌﾟﾘﾝｾﾁｱ'ﾛｰｻﾞ'(ﾔｴ),6,2,埼玉県
38,千葉県知事賞,高橋　照典,445752,ﾐﾆｼｸ'ｻﾑﾗｲｼｬｰﾌﾟ1',5,2,千葉県
39,新潟県知事賞,西野　松太郎,445993,ﾎﾟｲﾝ'ﾋﾞｼﾞｮﾝｵﾌﾞｸﾞﾗﾝﾃﾞｰﾙ',4,6,新潟県
40,長野県知事賞,清水　耕作,447334,CYM ｱﾝｼﾞｪﾘｺ'ｱﾆﾊﾞｰｻﾘｰﾙｰｼﾞ,8,1,長野県
41,静岡県知事賞,西浦　弘之,446184,CYM ﾊﾙｲﾛﾉｺｲ,7,1,静岡県
42,岡山県知事賞,杉山　徹,442503,DEN ﾋﾞｾﾞﾝ'ｱｹﾎﾞﾉ',6.5,2,岡山県
43,徳島県知事賞,佐野　円次,444627,CYM ｱﾄﾘ,6,2,徳島県
44,高知県知事賞,石田　力,442722,CYM ﾓﾘﾉｾｲ'ﾕｲ',5,5,高知県
45,福岡県知事賞,坂本　和盛,445120,ｼｸﾗﾒﾝ,7,1,福岡県
46,宮崎県知事賞,桑畑　新一,444051,PHAL ﾄﾞﾗｺﾞﾝﾂﾘｰ,9,1,宮崎県
47,北海道鉢花生産組合組合長賞,藤島　昇,441734,ｸﾘｽﾏｽﾛｰｽﾞ N.'ｺﾞｰﾙﾄﾞﾏﾘｰ',5,6,北海道
48,福島県鉢花生産者協議会会長賞,根本　修二,445563,ｼｸﾗﾒﾝ,5,3,福島県
49,群馬県園芸協会会長賞,野本　貴義,445360,ﾍﾞｺﾞﾆｱ E.(ﾘｰｶﾞｰｽﾍﾞｺﾞﾆｱ),4.5,6,群馬県
50,茨城県花き園芸協会会長賞,藤枝　寿勝,445853,ﾎﾟｲﾝ'ﾍﾟﾙﾌｨ ﾐﾗ'(ｼﾘｰｽﾞ),5,3,茨城県
51,(一社)とちぎ農産物ﾏｰｹﾃｨﾝｸﾞ協会会長賞,吉原　一成,447224,ｼｸﾗﾒﾝ,6,1,栃木県
52,埼玉県花き園芸組合連合会会長賞,大澤　克美,445060,PHAL ﾌｧﾚ ﾐﾃﾞｨｰ ｷ,7,1,埼玉県
53,千葉県花き園芸組合連合会会長賞,平野　勝則,447270,ｸﾌﾟﾚｯｻｽ'G.ｸﾚｽﾄｳｨﾙﾏ',10,1,千葉県
54,新潟県花木振興協議会会長賞,本間　正信,442580,ｱｻﾞﾚｱ'ﾛﾏﾝｽﾊﾟｰﾙ',5,6,新潟県
55,長野県鉢花園芸組合長賞,浜　敏明,446120,CYM 'ﾏｲﾋﾟｰﾁ',8,1,長野県
56,静岡県鉢物生産振興会会長賞,村松　謙一,446445,ﾀﾞｲｵｳｼｮｳ,6,5,静岡県
57,とくしまの花振興協会会長賞,作本　達利,443731,CYM ｴﾝｻﾞﾝS.'ｲﾝｻﾞﾑｰﾄﾞ',6,2,徳島県
58,福岡県花き園芸連合会会長賞,草場　利勝,444562,CYM 'ｲﾁｺﾞﾉｼｽﾞｸ',7,1,福岡県
59,熊本県花き協会会長賞,宮川　政友,445108,V ﾊﾞﾝﾀﾞ(ｿﾞｸﾒｲ),10,1,熊本県
60,宮崎県花き生産者連合会会長賞,中原　常和,444050,DTPS 'ﾊｯﾋﾟｰｽﾄﾘｰﾑ',8,1,宮崎県
61,(一社)日本花き卸売市場協会会長賞,立光　一孝,444514,DENP ﾁｪﾘｰｿﾝｸﾞ,10,1,長崎県
62,(一財)日本花普及センター会長賞,窪田　朝正,440752,CYM ﾀｶｻｺﾞ,5,1,山梨県
63,愛知園芸商組合理事長賞,賴　雨采,444572,PHAL ｿｰｺﾞﾕｷﾃﾞｨｱﾝ'V3',13,1,佐賀県
64,(公社)園芸文化協会会長賞,友時　光廣,443755,CYM ｸﾞﾘｰﾝﾌﾟﾚｱﾃﾞｽ,7,1,香川県
65,(一社)日本ハンギングバスケット協会理事長賞,大竹　敏彦,440785,CYM ﾌｧｲｱｰﾋﾞﾚｯｼﾞ'ﾜｲﾝｼｬﾜｰ',7,1,山梨県
66,ＮＨＫ出版賞,佐原　宏,440085,PHAL 'ﾓﾓｶ',8,1,和歌山県
67,東海地域花き普及･振興協議会会長賞,小林　次夫,445204,ｼｸﾗﾒﾝ'ﾋﾟｱｽ',6,2,群馬県
68,豊成会会長賞,角田　俊則,445182,ｼｸﾗﾒﾝ'ｸﾗｼｶﾙﾄﾞﾚｽ'(ｱｶ),5,4,群馬県
69,豊和会会長賞,高橋　義治（ＪＡ深谷）,445772,ﾎﾟｲﾝ'ｲﾁﾊﾞﾝ',4,6,埼玉県
70,豊明花き(株)社長賞,上條　節郎,446131,CYM 'ｶﾘﾝﾉｳﾀ',8,1,長野県
71,日本植物運輸(株)社長賞,福田　政一,445357,ｼｸﾗﾒﾝ'ﾌｧﾙﾌｧｰﾚ',6,1,栃木県
