特賞フラグ,特賞名,代表者,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
1,農林水産大臣賞,磯部　雅広,442821,CYM 'ｼｵｻｲﾉﾒﾓﾘｰ',8,1,愛知県
2,生産局長賞,篠田　浩明,582684,ﾎﾟｲﾝ'ｱﾄﾗﾝﾃｨｯｸ ﾚｯﾄﾞ',4,8,愛知県
3,東海農政局長賞,山口　直己,445705,CYM ﾋﾟｭｱﾌﾗﾜｰ'ｺｲﾉﾖｶﾝ',8,1,愛知県
4,愛知県知事賞（豊和会会長賞）,戸谷　忠徳,446876,ﾎﾟｲﾝ'ｺﾞｰﾙﾄﾞ',6,2,愛知県
5,岐阜県知事賞(豊明花き㈱社長賞),福田　誠,444771,ｾﾝﾄﾎﾟｰﾘｱ'ｸﾞﾚｰｽ'(ﾔｴ),3.5,12,岐阜県
6,三重県知事賞(豊成会会長賞),佐野　豪一,445082,CYM ﾌｧｲｱｰﾋﾞﾚｯｼﾞ'ﾜｲﾝｼｬﾜｰ',10,1,三重県
7,名古屋市長賞,小久保　高浩,445350,ｼｸﾗﾒﾝ(F1),5,4,愛知県
8,豊明市長賞,服部　健治,446521,PHAL 'ｱｶﾈ',8,1,愛知県
9,愛知県経済農業協同組合連合会会長賞,倉橋　逹己,446230,CYM 'ｷｬﾝﾄﾞﾙﾅｲﾄ',7,1,愛知県
10,愛知県花き温室園芸組合連合会会長賞,太田　浩史,445055,ｼｸﾗﾒﾝ'ﾋﾟﾝｷｰ',4,6,愛知県
11,岐阜県園芸特産振興会会長賞,三浦　綱彦,447213,ｼｸﾗﾒﾝ'ﾗﾃｨﾆｱ ﾌｧﾝﾌﾚｰﾑﾏｾﾞﾝﾀ,5,5,岐阜県
12,三重県花植木振興会会長賞,山北　敬次,446044,ﾌﾟﾘﾝｾﾁｱ(ｼﾘｰｽﾞ),5,5,三重県
13,ＮＨＫ名古屋放送局長賞,平野　和実,446786,ﾎﾟｲﾝｾﾁｱ,4,8,愛知県
14,豊明市商工会会長賞（奨励賞）,佐々木　良己,447006,ﾐﾆｼｸ'ﾌｪｱﾘｰﾋﾟｺ'(ｼﾘｰｽﾞ),5,4,愛知県
15,(公社)園芸文化協会会長賞,後藤　昭辞,445612,ﾎﾟｲﾝ'ｺﾞｰﾙﾄﾞ',5,5,愛知県
16,ＮＨＫ出版賞,寺部　翼,440100,PHAL ﾛﾏﾝｽ,8,1,愛知県
17,東海地域花き普及･振興協議会会長賞,岩田　義雄,445127,ONC ｱﾛﾊｲﾜﾅｶﾞ,8,1,愛知県
18,愛知豊明花き流通(協)理事長賞,河野　鉄博,447085,ﾌﾟﾘﾝｾﾁｱ(ｼﾘｰｽﾞ),4,10,岐阜県
19,日本植物運輸(株)社長賞,蟹江　孝俊,446179,CYM ﾐﾙｷｰｸｲｰﾝ'ﾌﾟﾛﾑﾅｰﾄﾞ',7,1,愛知県
72,(株)花卉園芸新聞社賞,石川　孝治,446505,ﾍﾟﾍﾟﾛﾐｱ,4,9,愛知県
73,(株)誠文堂新光社｢農耕と園芸｣賞,尾崎　幹憲,442882,PHAL 'ﾎﾜｲﾄｸﾞﾚｲｽ',7.5,1,愛知県
74,(株)草土出版賞,小坂井　則雄,446692,ﾎﾟｲﾝ'ﾍﾟﾙﾌｨ ﾐﾗﾚｯﾄﾞ',4,8,愛知県
100,奨励賞,北谷　正和,442234,PHAL ﾌﾟﾘﾝｾｽ'ﾋﾛ',7,1,愛知県
