特賞フラグ,特賞名,代表者,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
20,品評会大賞(愛知豊明花き流通協同組合理事長賞),平野　勝則,168524,ﾚｯｸｽﾍﾞｺﾞﾆｱ'ﾋﾞﾘｰﾌ'(ｼﾘｰｽﾞ),6,3,千葉県
21,品評会準大賞,田中　良枝,163361,ｹﾝﾁｬ,10,1,鹿児島県
22,静岡県知事賞,大杉　芳克,169343,ｻﾝｾﾍﾞﾘｱ,3.5,12,静岡県
23,千葉県知事賞,林　健一郎,168525,ｸﾞｽﾞﾏﾆｱ,7,3,千葉県
24,鹿児島県知事賞,田原迫　正一,164792,ｱﾚｶﾔｼ,9,1,鹿児島県
25,沖縄県知事賞,島袋　勤,164120,ﾄﾞﾗｾﾅ C.(ｺﾝｼﾝﾅ),8,1,沖縄県
26,指宿市長賞,小村　幸一,167566,ﾕｯｶ ｴﾙﾐﾗ(ﾌｲﾘ),7,1,鹿児島県
27,静岡県鉢物生産振興会会長賞,片岡　豊,169397,ﾃﾞｨｽｷﾃﾞｨｱ ﾙｽｷﾌｫﾘｱ,3,10,静岡県
28,千葉県花き園芸組合連合会会長賞,古川　定男,168516,ｺﾙｼﾞﾘﾈ T.'ﾁｮｺﾚｰﾄｸｲｰﾝ',8,1,千葉県
29,鹿児島県花き振興会会長賞,広森　博昭,164795,ｽﾄﾚﾘﾁｱ ｵｰｶﾞｽﾀ,10,1,鹿児島県
30,沖縄県花き園芸協会会長賞,登川　良雄,164167,ﾌｨｶｽ B.(ﾍﾞﾝｼﾞｬﾐﾅ),8,1,沖縄県
31,（一社）日本花き卸売市場協会会長賞,杉本　佑貴,167380,ｱｽﾌﾟﾚﾆｳﾑ N.'ｴﾒﾗﾙﾄﾞｳｴｰﾌﾞ',4,12,福岡県
32,（一財）日本花普及センター会長賞,波左間　廣美,167573,ﾃﾞﾍﾝﾊﾞｷｱ,7,2,福岡県
33,(公社)園芸文化協会会長賞,新村　直久,169433,ｶﾚｯｸｽ ﾌﾞﾙﾝﾈｱ'ｼﾞｪﾈｷｰ',3,24,静岡県
34,愛知園芸商組合理事長賞,比嘉　久賀,164149,ｶﾞｼﾞｭﾏﾙ,8,1,沖縄県
35,ＮＨＫ出版賞,弓指　隆男,164831,ﾂﾋﾟﾀﾞﾝﾂｽ ｶﾘﾌﾟﾄﾗﾂｽ,8,1,鹿児島県
36,屋内緑化推進協議会会長賞,柚木崎　健史,164798,ｼｪﾌﾚﾗ A.'ﾎﾝｺﾝ ﾌｲﾘ',10,1,鹿児島県
37,東海地域花き普及・振興協議会会長賞,杉野　雅彦,163581,ｼｭﾛﾁｸ,10,1,愛媛県
55,豊成会会長賞,千田　智章,164801,ｼﾏﾄﾈﾘｺ,8,1,鹿児島県
56,豊和会会長賞,下曽山　茂人,164780,ｸﾜｽﾞｲﾓ,10,1,鹿児島県
57,豊明花き（株）社長賞,井口　繁利,168515,ｻｸﾗｲﾛｶﾘｯｼｱ,3,15,千葉県
58,日本植物運輸（株）社長賞,鎌ケ迫　浩,164816,ﾕｯｶ ｴﾚﾌｧﾝﾃｨﾍﾟｽ,10,1,鹿児島県
