特賞フラグ,特賞名,代表者,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
1,品評会大賞(愛知豊明花き流通(協)理事長賞),根本　雄二,496757,ﾐﾆｼｸ'ｼﾞｯｸｽ'(ｼﾘｰｽﾞ),4,6,福島県
2,品評会準大賞,石田　力,497331,CYM ﾕﾒﾀﾏｺﾞ,6,2,高知県
3,北海道知事賞,高橋　学,494088,ｼｸﾗﾒﾝ'ｲﾝﾃﾞｨｱｶ ﾏｾﾞﾝﾀ',5,1,北海道
4,福島県知事賞,貝沼　謙一,496878,ｼｸﾗﾒﾝ'ﾈｵ ｺﾞｰﾙﾃﾞﾝｶﾞｰﾙ',5,2,福島県
5,群馬県知事賞,坂本　ティアムチャイ,497039,ｼｸﾗﾒﾝ'ｳｨﾝｸ ﾎﾜｲﾄ'(ﾔｴ),5,2,群馬県
6,茨城県知事賞,小波　輝昌,497301,ｸﾚﾏﾁｽ ｱﾝｽﾝｴﾝｼｽ,8,1,茨城県
7,栃木県知事賞,吉原　一成,497011,ｼｸﾗﾒﾝ,6,1,栃木県
8,埼玉県知事賞,吉岡　麗子,496903,ﾎﾟｲﾝｾﾁｱ,3,15,埼玉県
9,千葉県知事賞,高橋　康弘,496804,ｼｸﾗﾒﾝ'CCYT'(ｼﾘｰｽﾞ),5,3,千葉県
10,新潟県知事賞,本間　正信,495496,ｱｻﾞﾚｱ'ﾌﾟﾘﾝｾｽﾊﾟｰﾙ',5,6,新潟県
11,長野県知事賞,丸山　盛芳,498168,CYM 'ｱｲｺｻﾏ',6.5,2,長野県
12,静岡県知事賞,村松　英宣,494569,CYM ﾋﾟｴﾚｯﾃ'ﾐﾙｸﾃｨ',7,1,静岡県
13,岡山県知事賞,中原　精一,494766,CYM ﾌｧｲｱｰﾋﾞﾚｯｼﾞ'ﾜｲﾝｼｬﾜｰ',6,2,岡山県
14,徳島県知事賞,作本　達利,495384,CYM 'ｷｯｼﾝｸﾞﾄｰｸ',6,2,徳島県
15,高知県知事賞,森尾　道正,495608,CYM 'ｷﾏｸﾞﾚｳﾞｨｰﾅｽ',10,1,高知県
16,福岡県知事賞,坂本　和盛,494085,ｼｸﾗﾒﾝ,6,1,福岡県
17,宮崎県知事賞,近藤　邦浩,493344,PHAL 'ｳｨｯｼｭ',8,1,宮崎県
18,北海道鉢花生産組合組合長賞,藤島　昇,492439,ｸﾘｽﾏｽﾛｰｽﾞ'HGC.ｼﾞｮｴﾙ',5,6,北海道
19,福島県鉢花生産者協議会会長賞,佐藤　幸一,496753,ｼｸﾗﾒﾝ'ﾘｯﾌﾟｵﾚﾝｼﾞ',6,1,福島県
20,群馬県園芸協会会長賞,須藤　裕政,497055,ﾍﾞｺﾞﾆｱ E.(ﾘｰｶﾞｰｽﾍﾞｺﾞﾆｱ),4.5,6,群馬県
21,茨城県花き園芸協会会長賞,市村　正義,497253,ﾎﾟｲﾝ'ﾌﾟﾘﾒｰﾛ'(ｼﾘｰｽﾞ),5,3,茨城県
22,(一社)とちぎ農産物ﾏｰｹﾃｨﾝｸﾞ協会会長賞,福田　政一,496953,ｼｸﾗﾒﾝ'ﾄﾞﾘｰﾑ ﾊﾟｰﾌﾟﾙ',6,1,栃木県
23,埼玉県花き園芸組合連合会会長賞,塩原　茂夫,496887,ﾌﾟﾘﾝｾﾁｱ'ﾛｰｻﾞ'(ﾔｴ),7,1,埼玉県
24,千葉県花き園芸組合連合会会長賞,椎名　正樹,493131,PHAL 'ﾁｬｰﾘｰ',6,2,千葉県
25,新潟県花木振興協議会会長賞,長尾　恵美子,495505,ﾏﾝﾘｮｳ'ﾀｶﾗﾌﾞﾈ',5,6,新潟県
26,長野県鉢花園芸組合組合長賞(奨励賞),田澤　清,497841,ﾐﾆｼｸ'ｽﾉｰｼｮｺﾗ',5,3,長野県
27,静岡県鉢物生産振興会会長賞,西浦　弘之,495835,CYM ﾌｧｲｱｰﾋﾞﾚｯｼﾞ'ﾜｲﾝｼｬﾜｰ',7,1,静岡県
28,とくしまの花振興協会会長賞,佐野　円次,495374,CYM 'ｱﾄﾘ',6,2,徳島県
29,福岡県花き園芸連合会会長賞,福田　正彦,495428,CYM 'ｲﾁｺﾞﾉｼｽﾞｸ',7,1,福岡県
30,熊本県花き協会会長賞,北内　芳昭,493819,PHAL JBｴﾝｼﾞｪﾙ,99,1,熊本県
31,宮崎県花き生産者連合会会長賞,近藤　邦浩,493343,PHAL ｿｰｺﾞﾕｷﾃﾞｨｱﾝ'V3',8,1,宮崎県
32,(一社)日本花き卸売市場協会会長賞,塩原　卓哉,496885,ﾎﾟｲﾝ'ｱﾄﾞﾊﾞﾝﾃｰｼﾞ',4,6,埼玉県
33,(一財)日本花普及センター会長賞,佐藤　又エ門,497297,ﾌﾟﾘﾝｾﾁｱ(ｼﾘｰｽﾞ),6,3,茨城県
34,愛知園芸商組合理事長賞,菅原　剛悦,492454,ﾐﾆｼｸﾗﾒﾝ,3.5,11,秋田県
35,(公社)園芸文化協会会長賞,細江　弘光,575061,PHAL 'ｻｸﾗﾋﾒ',8,1,長野県
36,（一社）日本ハンギングバスケット協会理事長賞,平野　晃久,569222,ｸﾌﾟﾚｯｻｽ'G.ｸﾚｽﾄｳｨﾙﾏ',9,1,千葉県
37,ＮＨＫ出版賞,石川　英司,496961,ｼｸﾗﾒﾝ,5,3,群馬県
38,東海地域花き普及・振興協議会会長賞,清水　隆治,497246,ﾐﾆｼｸ'ﾃﾝｼﾉﾊﾈ'(ｼﾘｰｽﾞ),5,2,茨城県
39,豊成会会長賞,保坂　親司,497548,ﾐﾆｼｸﾗﾒﾝ,4,6,山梨県
40,豊和会会長賞,小川　久佳,494118,PHAL ﾛｲﾔﾙｼﾙｸ,8,1,山梨県
41,豊明花き（株）社長賞,宇戸平　庄一郎,496533,DTPS ﾌﾚﾝｽﾞｴﾝｼﾞｪﾙ'ﾐｵ',8,1,栃木県
42,日本植物運輸（株）社長賞,塩田　正人,495848,ｴﾘｶ ｾｯｼﾘﾌﾛｰﾗ,7,1,静岡県
