特賞フラグ,特賞名,代表者,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
1,生産局長賞(品評会大賞)(花の部賞),橋本　悦郎,493160,ﾐﾆｼｸﾗﾒﾝ,2,35,福島県
2,東海農政局長賞,梅村　庄治,494669,ｽｲｰﾄｱﾘｯｻﾑ,2.5,24,愛知県
3,愛知県知事賞,渡辺　邦通,493467,ｶｸﾃﾙﾏﾑ'ｸﾘｽﾀﾙ'(ｼﾘｰｽﾞ),3.5,24,愛知県
4,岐阜県知事賞,吉田　正博,530929,ﾎﾟｲﾝ'P.ｱｲｽｸﾘｽﾀﾙ',3,15,岐阜県
5,三重県知事賞（観葉・観賞樹・その他の部賞）,三田　憲一,493914,ﾐﾆｶﾝﾖｳ,3,24,三重県
6,静岡県知事賞,伊藤　勝則,494654,ｴﾘｶ C.'ﾎﾜｲﾄﾃﾞﾗｲﾄ',3.5,15,静岡県
7,埼玉県知事賞,金井塚　良行,493385,ﾌﾟﾘﾑﾗ J.'ｷｬﾝﾃﾞｨ'(ｼﾘｰｽﾞ),3,28,埼玉県
8,山形県知事賞,飯野　正,493195,ﾊﾎﾞﾀﾝ'ﾌｧｰｽﾄﾚﾃﾞｨ',3.5,20,山形県
9,名古屋市長賞,西山　正一,493521,ﾋﾞｵﾗ,3.5,24,愛知県
10,豊明市長賞,伊藤　誠,493733,ﾋﾞﾃﾞﾝｽ'ﾊｯﾋﾟｰ ｼｬｲﾝ'(ｷｲﾛ),3.5,15,愛知県
11,愛知県花き温室園芸組合連合会会長賞,山内　哲也,536346,ﾋﾞｵﾗ,3,28,愛知県
12,岐阜県園芸特産振興会会長賞,林　暁朗,530960,ﾕｰﾌｫﾙﾋﾞｱ(ｸｻﾊﾞ),3,24,岐阜県
13,三重県花植木振興会会長賞,桐生　悦夫,536734,ﾊﾟﾝｼﾞｰ,3,28,三重県
14,静岡県鉢物生産振興会会長賞,桔川　典久,494648,ｶﾛｹﾌｧﾙｽ'ｼﾙﾊﾞｰﾌﾞｯｼｭ',3,24,静岡県
15,埼玉県花き園芸組合連合会会長賞,茂木　敏明,493395,ｵｷｻﾞﾘｽ'ﾓﾓﾉｶｶﾞﾔｷ',3.5,24,埼玉県
16,山形県鉢物協議会会長賞,小松　武,493203,ﾊﾎﾞﾀﾝ,3,28,山形県
17,(公社) 園芸文化協会会長賞,鐘ヶ江　奉一,495395,ﾛﾌｫﾐﾙﾀｽ'ﾏｼﾞｯｸﾄﾞﾗｺﾞﾝ',3,24,福岡県
18,ＮＨＫ名古屋放送局長賞（ﾗﾍﾞﾙ・ﾎﾟｯﾌﾟ賞）,福田　史朗,493281,ﾋﾞｵﾗ'ﾏｯﾄﾌﾞﾗｯｷｰﾌﾟﾌﾟ',3,24,岡山県
19,ＮＨＫ出版賞,朝見　良治,493394,ｲﾍﾞﾘｽ'ｽﾉｰｻｰﾌｧｰ ﾎﾜｲﾄ',3.5,20,埼玉県
20,(株)花卉園芸新聞社賞,高橋　大作,493530,ﾍｰﾍﾞ'ﾊｰﾄﾌﾞﾚｰｶｰ',2.5,24,栃木県
21,(株)草土出版賞,岡本　尚之,493555,ﾐﾆｼｸ'ｽｰﾊﾟｰｺﾝﾊﾟｸﾄ',3.5,20,千葉県
22,(株)誠文堂新光社｢農耕と園芸｣賞,安田　秀幸,493060,ﾈﾒｼｱ'ﾋﾟﾝｸﾚﾓﾈｰﾄﾞ',3.5,24,埼玉県
23,(株)ナカヤマ賞,小河原　芳章（ＪＡほくさい）,493347,ﾌﾟﾘﾑﾗ J.'ﾌﾟﾚﾐｱﾑ'(ｼﾘｰｽﾞ),3.5,24,埼玉県
24,フォルツァ(株)賞,半田　裕己,536714,ｷﾝｷﾞｮｿｳ'ｷｬﾝﾃﾞｨｰﾄｯﾌﾟｽ',3,28,愛知県
25,丸種絵袋(株)賞,川上　竜一,493085,ﾋﾞｵﾗ'ﾊﾅｱﾗﾚ',3,24,埼玉県
26,(一社)日本ハンギングバスケット協会理事長賞,渡辺　宏修,493500,ﾌﾟﾛｽﾀﾝﾃﾗ'ﾐﾗｸﾙｽﾀｰ'(ﾌｲﾘ),2.5,24,愛知県
27,日本ガーデンデザイナー協会会長賞,小河原　一雄（ＪＡほくさい）,493358,ﾌﾟﾘﾑﾗ J.'ｷｬﾝﾃﾞｨ'(ｼﾘｰｽﾞ),3,28,埼玉県
28,豊明市商工会会長賞,渡辺　政明,493435,ﾊﾟﾝﾀﾞｽﾐﾚ(V.ﾍﾃﾞﾗｹｱ),3,28,愛知県
