特賞フラグ,特賞名,代表者,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
1,生産局長賞（品評会大賞）（多年草の部賞）,浅野　寿晴,447135,ﾍﾐｼﾞｷﾞｱ'ﾋﾟﾝｸｻﾌｧｲｱ',3,24,岐阜県
2,東海農政局長賞（１．２年草の部賞）,梅村　庄治,446590,ｽｲｰﾄｱﾘｯｻﾑ,2.5,24,愛知県
3,愛知県知事賞（花苗の部賞）,麻野間　秀一,445779,ﾐﾆｼｸﾗﾒﾝ,3,12,愛知県
4,岐阜県知事賞,野々田　知,447124,ﾐﾆｼｸﾗﾒﾝ,3,24,岐阜県
5,三重県知事賞,桐生　悦夫,446306,ｼﾛﾀｴｷﾞｸ'ｼﾙﾊﾞｰﾚｰｽ',2.5,24,三重県
6,静岡県知事賞,伊藤　勝則,446471,ｷﾞｮﾘｭｳﾊﾞｲ,3,24,静岡県
7,埼玉県知事賞,金井塚　良行,447795,ﾌﾟﾘﾑﾗ J.'ｷｬﾝﾃﾞｨ',3,28,埼玉県
8,山形県知事賞,小松　武,445488,ﾊﾎﾞﾀﾝ(ｵﾄﾞﾘ),3.5,24,山形県
9,名古屋市長賞,日比野　勝也,446921,ｷﾝｷﾞｮｿｳ'ﾄｩｲﾆｰ'(ｼﾘｰｽﾞ),3,24,愛知県
10,豊明市長賞(観葉・観賞樹・その他の部賞)(ﾗﾍﾞﾙ・ﾎﾟｯﾌﾟ賞),太田　浩二,445070,ﾃｲｶｶｽﾞﾗ,3,24,愛知県
11,愛知県花き温室園芸組合連合会会長賞,山口　俊樹,446356,ﾋﾞｵﾗ'S.ｵｰｷｯﾄﾞﾛｰｽﾞﾋﾞｰｺﾝ,3.5,24,愛知県
12,岐阜県園芸特産振興会会長賞,国井　教子,447090,ﾊﾎﾞﾀﾝ(ｷﾘﾊﾞﾅ),3,24,岐阜県
13,三重県花植木振興会会長賞,加藤　学,446454,ﾋﾞｵﾗ,3,28,三重県
14,静岡県鉢物生産振興会会長賞,服部　一夫,446425,ﾕｰﾌｫﾙﾋﾞｱ L.'ﾋﾒｼﾗﾕｷ',3,24,静岡県
15,埼玉県花き園芸組合連合会会長賞,川上　竜一,447332,ｷﾝｷﾞｮｿｳ(ﾌｲﾘ),3,24,埼玉県
16,山形県鉢物協議会会長賞,山平　康博,445508,ﾊﾎﾞﾀﾝ'ﾌﾟﾗﾁﾅｹｰﾙ',3.5,20,山形県
17,(公社) 園芸文化協会会長賞,築城　清孝,445077,ｶﾙｰﾅ ﾌﾞﾙｶﾞﾘｽ(ﾔｴ),3,24,北海道
18,ＮＨＫ名古屋放送局長賞,長沼　春雄,446233,ｻｷﾞﾅ,3,24,長野県
19,ＮＨＫ出版賞,石田　定弘,445383,ｼｭｯｺﾝﾈﾒｼｱ'ｱﾚﾝｼﾞ'(ｼﾘｰｽﾞ),3.5,24,埼玉県
20,(株)花卉園芸新聞社賞,浅井　崇紀,445494,ﾘﾝﾄﾞｳ'ｾｼﾙﾋﾟﾝｸ'(ﾄﾞｳﾊﾞ),3,24,兵庫県
21,(株)草土出版賞,小河原　芳章（ＪＡほくさい）,445275,ﾌﾟﾘﾑﾗ ｼﾞｭﾘｱﾝ ﾊｲﾌﾞﾘｯﾄ,3.5,24,埼玉県
22,(株)誠文堂新光社｢農耕と園芸｣賞,杉本　隆則,445528,ﾓﾐｼﾞﾊﾞｾﾞﾗ(ﾋﾟﾝｸ),3,24,兵庫県
23,(株)ナカヤマ賞,山口　義博,446779,ﾋﾞﾃﾞﾝｽ,3,20,愛知県
24,フォルツア(株)賞,増田　佳紀,445555,ﾐﾆﾊﾎﾞﾀﾝ,1,72,兵庫県
25,丸種絵袋(株)賞,西尾　昌直,446095,ﾁｪｯｶｰﾍﾞﾘｰ(G.ﾌﾟﾛｸﾝﾍﾞﾝｽ),2.5,12,愛知県
26,(一社)日本ハンギングバスケット協会理事長賞,山下　正美,445490,ﾊﾎﾞﾀﾝ'ﾀﾝﾊﾞﾉﾕﾒ',3,40,兵庫県
27,日本ガーデンデザイナー協会会長賞,横井　直美,445072,ｽｲｰﾄｱﾘｯｻﾑ(ｼﾛ),3.5,15,愛知県
28,豊明市商工会会長賞,北沢　保,446720,ｼｭｯｺﾝｱｽﾀｰ'ﾋﾞｸﾄﾘｱ'(ｼﾘｰｽﾞ),3.5,24,愛知県
29,東海地域花き普及・振興協議会会長賞,小野　敏夫,445589,ﾊﾎﾞﾀﾝ'ﾐﾂｺ',3.5,15,兵庫県
30,愛知豊明花き流通(協)理事長賞,浅井　昌透,445526,ｽｲｰﾄｱﾘｯｻﾑ'ｽｲｰﾄﾃﾞｺﾚｰｼｮﾝ',3.5,24,兵庫県
31,豊成会会長賞,永岡　洋倫,445328,ｽｶﾋﾞｵｻ'ﾌﾞﾙｰﾊﾞﾙｰﾝ',3.5,24,栃木県
32,豊和会会長賞,市原　勝吉,447227,ﾋﾞｵﾗ,3.5,24,千葉県
33,豊明花き(株)社長賞,半田　裕己,446229,ﾊﾟﾝｼﾞｰ,3,28,愛知県
34,日本植物運輸(株)社長賞,森　文男,446020,ﾊﾟﾝｼﾞｰ,3,28,愛知県
103,ラベルポップ賞,高見　昌伸,445501,ﾊﾎﾞﾀﾝ'ﾓｶｼｮｺﾗ',3.5,15,兵庫県
