特賞フラグ,特賞名,代表者,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
1,生産局長賞（品評会大賞）(花の部賞),川村　一徳,262661,ｶﾘﾌﾞﾗｺｱ'ﾃｨﾌｫｼｰ',3.5,24,栃木県
2,東海農政局長賞,西山　正一,263767,ﾊﾞｰﾍﾞﾅ'ﾋﾟﾝｸﾎﾟｯﾌﾟ',3.5,15,愛知県
3,愛知県知事賞,渡辺　邦通,263523,ｵｽﾃｵ'ST.ﾌﾞﾛﾝｽﾞﾁｬｰﾑ',3.5,24,愛知県
4,岐阜県知事賞(ラベル・ポップ賞),本田　元治,263431,ｹｲﾄｳ'ﾊｯﾋﾟｰｷｬﾝﾄﾞﾙ',3.5,15,岐阜県
5,三重県知事賞,里邨　守彦,264176,ﾍﾟﾗﾙｺﾞ'CF.ﾊﾞｲｶﾗｰ',3.5,15,三重県
6,静岡県知事賞,桔川　典久,263531,ｱｲﾋﾞｰｾﾞﾗ'ｴﾚｶﾞﾝｽ',3,24,静岡県
7,埼玉県知事賞,新井　正芳,262773,ｶﾞｰﾃﾞﾝｶｰﾈｰｼｮﾝ,3.5,20,埼玉県
9,名古屋市長賞,榊原　盛栄,263044,ﾍﾟﾗﾙｺﾞ'ｸﾞﾗﾝﾊﾟｯｿ ﾎﾞﾙﾄﾞｰ',3.5,15,愛知県
10,豊明市長賞,梅村　庄治,264400,ﾏﾘｰｺﾞｰﾙﾄﾞ,2.5,24,愛知県
11,愛知県花き温室園芸組合連合会会長賞,麻野間　秀一,262945,ﾔﾏｱｼﾞ'ﾊﾅｶﾞｻ',3,15,愛知県
12,岐阜県園芸特産振興会会長賞(観葉・観賞樹・その他の部賞),浅野　寿晴,263385,ﾖｳｼｭｺﾊﾞﾝﾉｷ,3,24,岐阜県
13,三重県花植木振興会会長賞,藤井　保之,263877,ﾍﾃﾞﾗ H.'ﾎﾜｲﾄﾒｲﾝﾍﾙﾂ',3,28,三重県
14,静岡県鉢物生産振興会会長賞,西山　由紀浩,264955,ﾌﾟﾃｨﾛｰﾀｽ ｴｸｻﾙﾀﾂｽ'ｼﾞｮｰｲ',3.5,15,静岡県
15,埼玉県花き園芸組合連合会会長賞,久保　泰永,262783,ｱﾙﾒﾘｱ'ｴﾝｾﾞﾙﾎﾞｰﾙ',3.5,15,埼玉県
17,(公社)園芸文化協会会長賞,高橋　幹生,262879,ﾐﾔｺﾜｽﾚ'ｴﾄﾞﾑﾗｻｷ',3.5,15,栃木県
18,ＮＨＫ名古屋放送局長賞,市原　勝吉,262805,ﾛｰﾀﾞﾝｾﾏﾑ'ﾘﾙﾋﾟﾝｸ',3.5,24,千葉県
19,ＮＨＫ出版賞,大植　由容,262924,ﾛﾍﾞﾘｱ'ｶﾘﾌﾞ ﾀﾞｰｸｵｰｼｬﾝ',3,20,奈良県
20,(株)花卉園芸新聞社賞,萩原　豊,262746,ﾗﾍﾞﾝﾀﾞｰ S.'ﾜﾀﾎﾞｳｼ',3.5,15,埼玉県
21,(株)誠文堂新光社「農耕と園芸」賞,谷澤　正勝,262552,ﾏﾘｰｺﾞｰﾙﾄﾞ,3.5,15,神奈川県
22,(株)草土出版賞,田島　嶽,262907,ｾﾞﾗﾆｳﾑ'ﾘﾝｺﾞ2000',3.5,24,埼玉県
23,(株)ナカヤマ賞,大岩　徳夫,262547,ｺﾙｼﾞﾘﾈ A.'ﾚｯﾄﾞｽﾀｰ',3,15,愛知県
24,フォルツァ(株)賞,大塩　芳弘,262586,ﾍﾟﾁｭﾆｱ'ｱﾛﾊ'(ｼﾘｰｽﾞ),3.5,20,兵庫県
25,丸種絵袋(株)賞,山内　哲也,518943,ﾊﾞｰﾍﾞﾅ'ﾋﾟﾝｸﾎﾟｯﾌﾟ',3.5,15,愛知県
26,(一社)日本ﾊﾝｷﾞﾝｸﾞﾊﾞｽｹｯﾄ協会理事長賞,川上　竜一,262651,ｷﾝｷﾞｮｿｳ'ﾌｫﾚｽﾄﾏﾘｱｰｼﾞｭ'(ﾌｲ,3,24,埼玉県
27,日本ガーデンデザイナー協会会長賞,田尻　敦美,263737,ﾍﾟﾁｭﾆｱ'PM.ｾﾐﾀﾞﾌﾞﾙﾚﾓﾝ',3.5,24,長野県
28,豊明市商工会会長賞,渡会　祥三,262716,ｺﾌﾟﾛｽﾏ,3,24,愛知県
29,東海地域花き普及・振興協議会会長賞,白木　義弘,512790,ﾌﾗﾝﾈﾙﾌﾗﾜｰ'ﾌｪｱﾘｰﾎﾜｲﾄ',3.5,20,岐阜県
30,愛知豊明花き流通協同組合理事長賞,川井　康司,265407,ﾍﾟﾁｭﾆｱ,3.5,24,奈良県
31,豊成会会長賞,大野　智史,264748,ｵｽﾃｵ'ｾﾚﾆﾃｨ'(ｼﾘｰｽﾞ),3.5,24,山梨県
32,豊和会会長賞,小河原　正純,263824,ﾍﾐｼﾞｷﾞｱ'ｷｬﾝﾃﾞｨｷｽ',3,24,埼玉県
33,豊明花き(株)社長賞,樋尾　文男,264540,ﾏﾘｰｺﾞｰﾙﾄﾞ'ｽﾄﾛﾍﾞﾘｰﾌﾞﾛﾝﾄﾞ',3,28,三重県
34,日本植物運輸(株)社長賞,安田　忠司,263982,ﾏﾘｰｺﾞｰﾙﾄﾞ,3,28,奈良県
504,ラベル・ポップ賞,堀田　雄介,262620,ﾍﾟﾁｭﾆｱ,3,40,兵庫県
504,ラベル・ポップ賞,吉田　誠,262929,ﾐﾝﾄ,3,28,埼玉県
,,麻野間　秀一,262944,ﾗﾐｳﾑ'ﾍﾙﾏﾝｽﾞﾌﾟﾗｲﾄﾞ',2.5,24,愛知県
,,阿部　宗司,262641,ｽﾄﾚﾌﾟﾄｶｰﾊﾟｽ,3,15,宮城県
,,今井　基之,263012,ｺﾙｼﾞﾘﾈ,3,12,愛知県
,,梅村　庄治,264397,ﾋﾎﾟｴｽﾃｽ,3,28,愛知県
,,梅村　庄治,264401,ﾋﾒｺﾘｳｽ'ｺﾘﾝﾁｬﾝ',3,24,愛知県
,,槍木　正章,262561,ﾊﾞｰﾍﾞﾅ'ｵﾌﾞｾｯｼｮﾝ',3.5,24,千葉県
,,岡本　賢一,263150,ｱﾌﾘｶﾝﾏﾘｰｺﾞｰﾙﾄﾞ'ﾎﾜｲﾄﾊﾞﾆﾗ',3,24,愛知県
,,北沢　保,263660,ｵﾚｶﾞﾉ'ｹﾝﾄﾋﾞｭｰﾃｨ',3.5,20,愛知県
,,里邨　守彦,264182,ﾍﾟﾗﾙｺﾞﾆｳﾑ,3.5,15,三重県
,,鈴木　寿久,264357,ｵｽﾃｵ'ﾀﾞﾌﾞﾙﾌｧﾝ'(ｼﾘｰｽﾞ),3.5,24,愛知県
,,田尻　敦美,263738,ｵｽﾃｵ'ｾﾚﾆﾃｨ'(ｼﾘｰｽﾞ),3.5,24,長野県
,,角田　俊則,262893,ｱｽﾁﾙﾍﾞ'ｼｮｰｽﾀｰ',3.5,15,群馬県
,,西川　義幸,262079,ｱｼﾞｭｶﾞ ﾚﾌﾟﾀﾝｽ,3.5,20,北海道
,,平井　一広,264472,ﾏﾘｰｺﾞｰﾙﾄﾞ'ﾌｧｲﾔｰﾎﾞｰﾙ',3.5,20,奈良県
,,平井　一広,264475,ﾍﾞｺﾞﾆｱ S.'ﾊﾟｿﾀﾞﾌﾞﾙ',3.5,20,奈良県
,,松原　肇,262905,ﾏｰｶﾞﾚｯﾄ'ﾎﾟﾎﾟﾀﾝ ﾏｶﾛﾝﾋﾟﾝｸ',3.5,20,群馬県
,,渡辺　邦通,263526,ﾌﾞﾙｰﾃﾞｰｼﾞｰ'ﾍﾟｶﾞｻｽ'(ｼﾛ),3,28,愛知県
,,渡会　祥三,262715,ﾍﾘｸﾘｻﾑ ｼｱﾝｽﾁｬﾆｶﾑ,3,24,愛知県
,,鈴木　武志,264446,ﾍﾟﾁｭﾆｱ'ｱｽﾞｷ',3.5,20,愛知県
,,浅野　寿晴,263386,ﾛｰﾀﾞﾝｾﾏﾑ'ｸﾚｰﾙ'(ｼﾘｰｽﾞ),3.5,20,岐阜県
,,浅野　寿晴,263387,ﾌﾞﾗｷｶﾑ'ﾁｪﾘｯｼｭ'(ﾋﾟﾝｸ),3.5,20,岐阜県
,,浅野　寿晴,263394,ﾌﾗﾝﾈﾙﾌﾗﾜｰ'ﾘﾄﾙｴﾝｼﾞｪﾙ',3.5,15,岐阜県
,,白木　義弘,512791,ﾌﾗﾝﾈﾙﾌﾗﾜｰ'ﾘﾄﾙｴﾝｼﾞｪﾙ',3.5,15,岐阜県
,,吉田　正博,263409,ｶﾞｰﾍﾞﾗ(ｼｮｳﾘﾝ),3,24,岐阜県
,,野田　英樹,263344,ﾕﾘｵﾌﾟｽﾃﾞｰｼﾞｰ'ﾌｨﾘｯﾌﾟｽ',3,24,岐阜県
,,新井　正芳,262772,ﾀﾞｲｱﾝｻｽ'ﾋﾟﾝｸｷｯｽ',3.5,20,埼玉県
,,小河原　正純,263821,ﾊﾞｰﾍﾞﾅ'LS.ﾗｲﾑｸﾞﾘｰﾝ',3.5,20,埼玉県
,,長尾　安博,264611,ﾍﾞｺﾞﾆｱ S.'ﾀﾞﾌﾞﾚｯﾄ'(ｼﾘｰｽﾞ,3.5,24,兵庫県
