特賞フラグ,特賞名,代表者,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
1,農林水産大臣賞,坂野　啓三,596168,CYM 'ｼｵｻｲﾉﾒﾓﾘｰ',8,1,愛知県
2,生産局長賞,後藤　昭辞,133143,ﾌﾟﾘﾝｾﾁｱ(ｼﾘｰｽﾞ),7,1,愛知県
3,東海農政局長賞,三浦　綱彦,133500,ｼｸﾗﾒﾝ,5,5,岐阜県
4,愛知県知事賞（豊明花き㈱社長賞）,服部　健治,128345,PHAL ｷｬﾃﾞﾘｰﾇ,8,1,愛知県
5,岐阜県知事賞(豊成会会長賞),河野　鉄博,591023,ﾎﾟｲﾝ'ｺﾞｰﾙﾄﾞ',5,6,岐阜県
6,三重県知事賞(豊和会会長賞),佐野　豪一,131924,CYM ｴﾝｻﾞﾝｽｶｲ'ﾌﾟﾚｱﾃﾞｽ',5,2,三重県
7,名古屋市長賞,篠田　浩明,134348,ﾎﾟｲﾝｾﾁｱ,5,4,愛知県
8,豊明市長賞,渡会　祥三,132513,ﾌﾟﾛﾃｱ'ﾘﾄﾙﾌﾟﾘﾝｽ',6,5,愛知県
9,愛知県経済農業協同組合連合会会長賞,倉橋　逹己,130031,CYM 'ｴﾝｼﾞｪﾙﾎﾟｲﾝﾄ',10,1,愛知県
10,愛知県花き温室園芸組合連合会会長賞,鈴木　博英,132215,ﾎﾟｲﾝ'ﾌｪﾗｰﾗ',5,4,愛知県
11,岐阜県園芸特産振興会会長賞,水野　賢治,132915,CYM 'ｷｭｰﾄﾏﾑ',5,1,岐阜県
12,三重県花植木振興会会長賞,山北　敬次,133268,ﾎﾟｲﾝ'ﾌｪﾗｰﾗ',4,11,三重県
13,NHK名古屋放送局長賞,渡辺　邦通,132548,ﾎﾟｯﾄﾏﾑ'ﾏｳﾝﾄｵｰﾋﾞｽｸ',4,11,愛知県
14,豊明市商工会会長賞,伊藤　正規,133681,CYM ﾋﾟｴﾚｯﾃ'ﾐﾙｸﾃｨ',7,1,愛知県
16,(公社)園芸文化協会会長賞,福岡　長正,132774,CYM 'ﾋﾟｯｺﾘｰﾅ',8,1,愛知県
17,ＮＨＫ出版賞,太田　浩史,132205,ﾐﾆｼｸ'ｱﾙｰﾚ'(ｼﾘｰｽﾞ),4,6,愛知県
18,東海地域花き普及･振興協議会会長賞,小久保　高浩,132430,ｼｸﾗﾒﾝ(F1),5,4,愛知県
19,愛知豊明花き流通(協)理事長賞,岡田　成人,132307,ﾎﾟｲﾝ'ﾋﾞｼﾞｮﾝｵﾌﾞｸﾞﾗﾝﾃﾞｰﾙ',5,4,愛知県
20,日本植物運輸(株)社長賞,河合　幹雄,132572,ﾌﾟﾘﾝｾﾁｱ'ﾛｰｻﾞ'(ﾔｴ),5,4,愛知県
