特賞フラグ,特賞名,代表者,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
1,生産局長賞（品評会大賞）(その他の花苗の部賞),築城　司,391951,ﾍｰﾍﾞ,3.5,20,北海道
2,東海農政局長賞,金子　勝哉,392124,ﾌﾟﾘﾑﾗ ｼﾞｭﾘｱﾝ ﾊｲﾌﾞﾘｯﾄ,3,24,岐阜県
3,愛知県知事賞(1・2年草の部賞),日比野　勝也,393165,ｷﾝｷﾞｮｿｳ'ﾄｩｲﾆｰ'(ｼﾘｰｽﾞ),3,24,愛知県
4,岐阜県知事賞,野々田　知,391515,ﾐﾆｼｸﾗﾒﾝ'ｽｰﾊﾟｰﾍﾞﾗﾉ',3,24,岐阜県
5,三重県知事賞,桐生　悦夫,392180,ﾋﾞｵﾗ,3,28,三重県
6,静岡県知事賞,伊藤　勝則,392463,ｴﾘｶ C.'ﾎﾜｲﾄﾃﾞﾗｲﾄ',3.5,15,静岡県
7,埼玉県知事賞,飯塚　和彦,391611,ﾌﾟﾘﾑﾗ J.'ﾏｽｶｯﾄﾉｼﾞｭﾚ',3.5,24,埼玉県
8,山形県知事賞,飯野　正,391650,ﾊﾎﾞﾀﾝ'ﾌｧｰｽﾄﾚﾃﾞｨ',3.5,15,山形県
9,名古屋市長賞,松野　武一,392374,ﾌﾟﾘﾑﾗ ﾏﾗｺｲﾃﾞｽ(ｶﾜﾘｻﾞｷ),3.5,15,愛知県
10,豊明市長賞,平野　和実,393445,ﾎﾟｲﾝｾﾁｱ,2.5,20,愛知県
11,愛知県花き温室園芸組合連合会会長賞,鈴木　吉洋,391933,ｽﾄｯｸ'ﾍﾞｲﾋﾞｰ'(ｼﾘｰｽﾞ),3.5,15,愛知県
12,岐阜県園芸特産振興会会長賞,川瀬　良樹,391531,ｾﾀﾞﾑ,2,35,岐阜県
13,三重県花植木振興会会長賞,伴　浩人,391689,ﾋﾞｵﾗ,3,28,三重県
14,静岡県鉢物生産振興会会長賞,大川　芳彦,394139,ﾌﾟﾘﾑﾗ ﾏﾗｺｲﾃﾞｽ,3.5,24,静岡県
15,埼玉県花き園芸組合連合会会長賞,三ツ木　善洋,389906,ｼﾛﾀｴｷﾞｸ(ﾀﾞｽﾃｨｰﾐﾗｰ),3.5,24,埼玉県
16,山形県鉢物協議会会長賞,大築　義夫,391645,ﾐﾆｼｸﾗﾒﾝ,3,28,山形県
17,(公社) 園芸文化協会会長賞,森川　忠雄,393778,ﾊﾎﾞﾀﾝ'ﾍﾞﾙｻｲﾕ ﾌﾞﾗｯｸﾙｼｱﾝ',3,24,京都府
18,ＮＨＫ名古屋放送局長賞,新井　信明,391845,ﾊﾎﾞﾀﾝ'ﾐﾂｺﾛｲﾔﾙ'(ﾏﾙﾊﾞ),3.5,15,群馬県
19,ＮＨＫ出版賞,谷澤　明子,391416,ｲﾍﾞﾘｽ'ﾌﾞﾗｲﾀﾞﾙﾌﾞｰｹ',3.5,20,栃木県
20,(株)花卉園芸新聞社賞,梅村　庄治,392772,ｽｲｰﾄｱﾘｯｻﾑ,2.5,28,愛知県
21,(株)草土出版賞(多年草の部賞),中野　秀昭,392715,ｶﾞｰﾍﾞﾗ(ﾐﾆ),3,24,愛知県
22,(株)誠文堂新光社｢農耕と園芸｣賞,山下　正美,391345,ﾊﾎﾞﾀﾝ'ﾀﾝﾊﾞﾉﾕﾒ',3,40,兵庫県
23,(株)ナカヤマ賞,森　文男,392158,ﾊﾟﾝｼﾞｰ,3,28,愛知県
24,フォルツア(株)賞,小松　武,391647,ﾊﾎﾞﾀﾝ'ﾌﾞﾗｯｸﾘｰﾌ',3.5,24,山形県
25,丸種絵袋(株)賞,鈴木　武志,392212,ﾋﾞｵﾗ'ﾃﾞｨｰｼﾞｪｲ'(ｼﾘｰｽﾞ),3.5,15,愛知県
26,(一社)日本ハンギングバスケット協会理事長賞,山内　哲也,392227,ｽｲｰﾄｱﾘｯｻﾑ'ｲｰｽﾀｰﾎﾞﾈｯﾄ',3,28,愛知県
27,日本ガーデンデザイナー協会会長賞,鐘ヶ江　奉一,393567,ﾍｰﾍﾞ'ﾙﾊﾞｰﾌﾞｱﾝﾄﾞｶｽﾀｰﾄﾞ',2.5,40,福岡県
28,豊明市商工会会長賞,山口　俊樹,392378,ﾋﾞｵﾗ'FP ﾎﾜｲﾄﾛｰｽﾞｳｨﾝｸﾞ',3.5,24,愛知県
29,東海地域花き普及・振興協議会会長賞,川上　竜一,391494,ｷﾝｷﾞｮｿｳ(ﾌｲﾘ),3.5,24,埼玉県
30,愛知豊明花き流通(協)理事長賞,山口　義博,393440,ﾌﾟﾘﾑﾗ ﾏﾗｺｲﾃﾞｽ,3.5,15,愛知県
31,豊成会会長賞,山田　清秀,393154,ｷﾝｷﾞｮｿｳ'ｽﾅｯﾌﾟｼｮｯﾄ'(ｼﾘｰｽﾞ,3,28,愛知県
32,豊和会会長賞(観葉植物、観賞樹、その他の部賞),木村　治彦,392067,ﾚｯｸｽﾍﾞｺﾞﾆｱ,3.5,15,愛知県
33,豊明花き(株)社長賞,小河原　正純（ＪＡほくさい）,391554,ｾﾀﾞﾑ'ﾁｮｺﾚｰﾄﾎﾞｰﾙ',3,24,埼玉県
34,日本植物運輸(株)社長賞,横井　直美,391684,ﾋﾞｵﾗ,3,15,愛知県
103,ラベルポップ賞,半田　裕己,392023,ﾊﾟﾝｼﾞｰ(ﾌｸｼｮｸ),3,24,愛知県
