特賞フラグ,特賞名,代表者,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
30,品評会大賞(愛知豊明花き流通(協)理事長賞),根本　修二,493602,ｼｸﾗﾒﾝ'ﾐﾆｵﾝﾌﾞﾗﾝｼｭ',5,4,福島県
31,品評会準大賞,宇戸平　庄一郎,493383,DTPS ﾌﾚﾝｽﾞﾌﾟﾘﾝｾｽ'ﾘｱ',8,1,栃木県
32,北海道知事賞,藤島　昇,488046,ｸﾘｽﾏｽﾛｰｽﾞ'HGC.ｼﾞｮｴﾙ',5,6,北海道
33,福島県知事賞,古市　利夫,493159,ﾎﾟｲﾝ'ﾌﾟﾘﾒｰﾛ ﾚｯﾄﾞﾀﾍﾟｽﾄﾘｰ',5,4,福島県
34,群馬県知事賞,坂本　正次,493543,ﾐﾆｼｸ'ｳｨﾝｸ',5,2,群馬県
35,茨城県知事賞,小波　輝昌,493326,ｸﾚﾏﾁｽ ｱﾝｽﾝｴﾝｼｽ,4.5,8,茨城県
36,栃木県知事賞,大根田　貞夫,493527,ﾍﾞｺﾞﾆｱ E.(ﾘｰｶﾞｰｽﾍﾞｺﾞﾆｱ),5,5,栃木県
37,埼玉県知事賞,金子　正（ＪＡあさか野）,493123,ｶﾗｰ,4,11,埼玉県
38,千葉県知事賞,高橋　照典,492997,ﾐﾆｼｸ'ｴﾄﾞﾉｱｵ',6,1,千葉県
39,新潟県知事賞,長尾　恵美子,490756,ﾏﾝﾘｮｳ'ﾒｵﾄﾁｮｳｼﾞｭ',6,5,新潟県
40,長野県知事賞,青木　健,494910,ﾐﾆｼｸﾗﾒﾝ'ﾌﾚｰﾑ',4,6,長野県
41,静岡県知事賞,八木　清孝,488671,PHAL ｱﾏﾋﾞﾘｽ'ｹｾﾗ',6,2,静岡県
42,岡山県知事賞,中原　精一,490278,CYM ｽﾀｲﾘｯｼｭﾌﾗﾜｰ'ﾒﾛﾝﾊﾟﾝﾅ',6,2,岡山県
43,徳島県知事賞,山田　昌治,491738,CYM ｴﾝｾﾞﾙﾁｬｰﾑ,7,1,徳島県
44,高知県知事賞,森尾　道正,491437,CYM 'ｺﾞｰﾙﾄﾞｼｯﾌﾟ',7,1,高知県
45,福岡県知事賞,和佐野　喜代太,492183,PHAL ｶｽﾐﾋﾞｼﾞﾝ,8,1,福岡県
