特賞フラグ,特賞名,代表者,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
1,生産局長賞（品評会大賞）(花の部賞),橋本　紀之,496877,ﾐﾆｼｸﾗﾒﾝ,2,35,福島県
2,東海農政局長賞,大竹　敏幸,497992,ﾋﾞｵﾗ'FP ﾎﾜｲﾄﾊﾟｰﾌﾟﾙｳｨﾝｸﾞ',3.5,24,愛知県
3,愛知県知事賞,横井　直美,496996,ﾊﾟﾝｼﾞｰ(ﾕﾒﾐﾙﾊﾟﾝｼﾞｰ),3.5,15,愛知県
4,岐阜県知事賞,白木　義弘,497167,ｼﾛﾀｴｷﾞｸ'ｼﾙﾊﾞﾗｰﾄﾞ',2.5,24,岐阜県
5,三重県知事賞,森戸　勝美,498757,ﾌﾟﾘﾑﾗ ﾏﾗｺｲﾃﾞｽ,3.5,24,三重県
6,静岡県知事賞,大川　芳彦,569320,ﾋﾞｵﾗ,2.5,35,静岡県
7,埼玉県知事賞,安田　秀幸,496898,ﾋﾞﾃﾞﾝｽ'ｺﾞｰﾙﾃﾞﾝｴﾝﾊﾟｲﾔ',3.5,24,埼玉県
8,山形県知事賞,後藤　隆之,496732,ﾊﾎﾞﾀﾝ'ｸﾘｽﾀﾙﾜｲﾝ',3.5,20,山形県
9,名古屋市長賞,鈴木　寿久,575055,ﾊﾎﾞﾀﾝ,3,24,愛知県
10,豊明市長賞,鈴木　茂伸,497566,ｽｲｰﾄｱﾘｯｻﾑ,3,28,愛知県
11,愛知県花き温室園芸組合連合会会長賞,日比野　勝也,497106,ﾊﾎﾞﾀﾝ'ﾌｧｰｽﾄﾚﾃﾞｨ',3,20,愛知県
12,岐阜県園芸特産振興会会長賞,小林　錦司,497988,ﾊﾎﾞﾀﾝ'ﾌｧｰｽﾄﾚﾃﾞｨ',3,24,岐阜県
13,三重県花植木振興会会長賞,加藤　学,497966,ｷﾝｷﾞｮｿｳ'ｷｬﾝﾃﾞｨｰﾄｯﾌﾟｽ',3,24,三重県
14,静岡県鉢物生産振興会会長賞,桔川　典久,497190,ﾊﾞｺﾊﾟ(ﾗｲﾑ),3,24,静岡県
15,埼玉県花き園芸組合連合会会長賞,横田　仁詩,497028,ﾈﾒｼｱ'ｽｲｰﾄ ﾁｮｺﾊﾞﾅﾅ',3.5,24,埼玉県
16,山形県鉢物協議会会長賞,小松　武,496740,ｶﾛｹﾌｧﾙｽ'ｼﾙﾊﾞｰﾌﾞｯｼｭ',3,28,山形県
17,(公社)園芸文化協会会長賞,新井　信明,497033,ﾊﾎﾞﾀﾝ'ﾐﾂｺﾎﾟﾗﾘｽ'(ｷﾚﾊﾞﾌｲﾘ),3,20,群馬県
18,ＮＨＫ名古屋放送局長賞,長尾　安博,497251,ﾊﾎﾞﾀﾝ'ﾂｸﾞﾐ',3.5,24,兵庫県
19,ＮＨＫ出版賞,新井　正芳,496944,ﾌﾟﾘﾑﾗ J.'ｷｬﾝﾃﾞｨ'(ｼﾘｰｽﾞ),3,28,埼玉県
20,(株)花卉園芸新聞社賞,吉岡　麗子,496905,ﾎﾟｲﾝｾﾁｱ,2.5,20,埼玉県
22,(株)誠文堂新光社「農耕と園芸」賞,石原　玄太,497558,ﾐﾆｼｸ'ｽｰﾊﾟｰﾍﾞﾗﾉ',3,24,山梨県
23,(株)ナカヤマ賞,竹村　初美,569350,ｶﾙｰﾅ ﾌﾞﾙｶﾞﾘｽ,2.5,24,長野県
24,フォルツァ(株)賞,水野　清貴,498749,ﾐﾆｼｸﾗﾒﾝ,3,24,長野県
25,丸種絵袋(株)賞(観葉・観賞樹・その他の部賞),高橋　幹生,496840,ｾﾀﾞﾑ'ｱﾄﾗﾝﾃｨｽ',2.5,24,栃木県
26,(一社)日本ハンギングバスケット協会理事長賞,浅井　昌透,498365,ﾊﾎﾞﾀﾝ(ﾗｳﾞｨｱﾝﾛｰｽﾞﾌﾘﾙ),3,24,兵庫県
27,日本ガーデンデザイナー協会会長賞,鈴木　武志,497420,ﾊﾟﾝｼﾞｰ(ﾕﾒﾐﾙﾊﾟﾝｼﾞｰ),3.5,20,愛知県
28,豊明市商工会会長賞,渡辺　邦通,496839,ｶｸﾃﾙﾏﾑ'ｽﾄﾘｰﾑﾋﾟﾝｸﾊﾞｲｶﾗｰ',3.5,24,愛知県
29,東海地域花き普及・振興協議会会長賞,小河原　正純,496935,ﾐﾆｼｸ'ﾘﾄﾙﾏﾀﾄﾞｰﾙ'(ｼﾘｰｽﾞ),3,15,埼玉県
30,愛知豊明花き流通協同組合理事長賞,平井　一広,498215,ﾐﾆｼｸﾗﾒﾝ,3,24,奈良県
31,豊成会会長賞,杉本　隆則,498685,ﾓﾐｼﾞﾊﾞｾﾞﾗ(ﾊﾞﾝｸｰﾊﾞｰｾﾝﾃｨﾆｱ,3.5,20,兵庫県
32,豊和会会長賞,中野　秀昭,497092,ｶﾞｰﾍﾞﾗ(ﾐﾆ),3,24,愛知県
33,豊明花き(株)社長賞,森川　忠雄,495107,ﾊﾎﾞﾀﾝ'ｼﾁﾌｸｼﾞﾝ',3,24,京都府
34,日本植物運輸(株)社長賞,増田　佳紀,497304,ﾏｲｸﾛﾐﾆﾊﾎﾞﾀﾝ,1,72,兵庫県
