特賞フラグ,特賞名,代表者,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
1,農林水産大臣賞,杉原　芳英,224098,ﾎﾟﾄｽ,10,1,愛知県
2,生産局長賞,小松　英雄,224791,ｱﾝｽﾘｳﾑ A.'ﾘﾘｰ',5,4,愛知県
3,東海農政局長賞,皿井　昌幸,224086,ｱﾝｽﾘｳﾑ A.'ﾘﾋﾞｳﾑ',8,2,愛知県
4,愛知県知事賞（豊成会会長賞）,小久保　勝大,224003,ｻﾞﾐｵｸﾙｶｽ ｻﾞﾐｰﾌｫﾘｱ'ﾚｲｳﾞﾝ',7,1,愛知県
5,岐阜県知事賞(豊和会会長賞),沢部　昇,221473,ｻﾝｾﾍﾞﾘｱ T.'ｷﾝｸﾞﾛｰﾚﾝﾁｰ',8,2,岐阜県
6,三重県知事賞(豊明花き㈱社長賞),舘　誠,224752,ｱｽﾌﾟﾚﾆｳﾑ N.'ﾌﾟﾘｶﾂﾑ ｱｶｷ',7,1,三重県
7,名古屋市長賞,村上　雅彦,223717,ﾚｯｸｽﾍﾞｺﾞﾆｱ,5,6,愛知県
8,豊明市長賞,大林　智子,224800,ﾌｨﾛﾃﾞﾝﾄﾞﾛﾝ,5,1,愛知県
9,愛知県経済農業協同組合連合会会長賞,近藤　隆彦,223701,ﾁﾗﾝﾄﾞｼｱ ｷｱﾈｱ'ﾛｸ',5,5,愛知県
10,愛知県花き温室園芸組合連合会会長賞,長島　昭彦,224805,ｶﾗﾃｱ'ﾒﾀﾞﾘｵﾝ',6,6,愛知県
11,岐阜県園芸特産振興会会長賞,川口　広,222764,ﾌｨｶｽ E.'ﾛﾌﾞｽﾀｰ',4,11,岐阜県
12,三重県花植木振興会会長賞,堀　明,224730,ｸﾜｽﾞｲﾓ,4,11,三重県
13,NHK名古屋放送局長賞,片桐　正一,224809,ﾌﾟﾗﾃｨｾﾘｳﾑ B.'ﾈｻﾞｰﾗﾝﾂﾞ',6,3,愛知県
14,豊明市商工会会長賞,河合　康之,224083,ｱﾝｽﾘｳﾑ ｱﾝﾄﾞﾚｱﾅﾑ,7,3,愛知県
15,屋内緑化推進協議会会長賞,神谷　幹秀,224332,ﾗｾﾝｸﾛﾄﾝ'ｽｸﾙｷｰ',4,11,愛知県
16,(公社)園芸文化協会会長賞,花井　充,224074,ｸﾞｽﾞﾏﾆｱ(ｱｶ),6,4,愛知県
17,ＮＨＫ出版賞,伊藤　正,224768,ﾌｨｶｽ ｳﾝﾍﾞﾗｰﾀ,4,11,三重県
18,東海地域花き普及･振興協議会会長賞,荒木　敏美,224005,ﾌｨﾛﾃﾞﾝ'ｺﾝｺﾞ',10,1,愛知県
19,愛知豊明花き流通(協)理事長賞,高木　勝美,224801,ｱﾝｽﾘｳﾑ ｱﾝﾄﾞﾚｱﾅﾑ,4,12,愛知県
20,日本植物運輸(株)社長賞,水野　光浩,224788,ｸﾛﾄﾝ,6,6,愛知県
