特賞フラグ,特賞名,代表者,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
1,農林水産大臣賞,皿井　勝喜,169752,ｸﾛﾄﾝ'ﾐｾｽｱｲｽﾄﾝ',10,1,愛知県
2,生産局長賞（奨励賞）,神谷　幹秀,169214,ﾗｾﾝｸﾛﾄﾝ'ｽｸﾙｷｰ',4,11,愛知県
3,東海農政局長賞,三田　憲一,169408,ﾚｯｸｽﾍﾞｺﾞﾆｱ,3.5,15,三重県
4,愛知県知事賞(豊和会会長賞),河合　康之,169594,ｱﾝｽﾘｳﾑ ｱﾝﾄﾞﾚｱﾅﾑ,6,6,愛知県
5,岐阜県知事賞（豊明花き㈱社長賞）,中島　敬一,167585,ｸﾞﾘｰﾝｱﾗﾚｱ,8,1,岐阜県
6,三重県知事賞(豊成会会長賞),舘　誠,169273,ｱｽﾌﾟﾚﾆｳﾑ N.'ﾌﾟﾘｶﾂﾑ ｱｶｷ',6,2,三重県
7,名古屋市長賞,小坂井　巧,169012,ｶﾗﾃｱ'ﾄﾞｯﾃｨｰ',4.5,8,愛知県
8,豊明市長賞,皿井　昌幸,169956,ｱﾝｽﾘｳﾑ A.'ﾌｨｵﾘｰﾉ'(ﾑﾗｻｷ),10,1,愛知県
9,愛知県経済農業協同組合連合会会長賞,荒木　敏美,168498,ｶﾗﾃｱ'ﾋﾞｶｼﾞｭｰ',7,2,愛知県
10,愛知県花き温室園芸組合連合会会長賞,浅岡　茂光,168996,ｶﾝﾖｳ,2.5,20,愛知県
11,岐阜県園芸特産振興会会長賞,大平　正則,168576,ｼｪﾌﾚﾗ A.'ﾎﾝｺﾝ',10,1,岐阜県
12,三重県花植木振興会会長賞,黒宮　武,169309,ｽﾊﾟﾃｨﾌｨﾗﾑ,3,24,三重県
13,屋内緑化推進協議会会長賞,小栗　大造,168647,ﾌｨｶｽ B.'ﾊﾞﾛｯｸ',5,8,愛知県
14,(公社)園芸文化協会会長賞,花井　充,169998,ｻﾝｾﾍﾞﾘｱ,4.5,8,愛知県
15,豊明市商工会会長賞,大岩　辰男,168948,ｼｪﾌﾚﾗ A.'ﾊｯﾋﾟｰｲｴﾛｰ',6,5,愛知県
16,NHK名古屋放送局長賞,米津　一義,169074,ﾈﾍﾟﾝﾃｽ ﾚﾃﾞｨｰﾗｯｸ,5,3,愛知県
17,ＮＨＫ出版賞,鷲尾　昭夫,168936,ﾎﾟﾄｽ'ｴﾝｼﾞｮｲ',3,8,愛知県
18,東海地域花き普及・振興協議会会長賞,小松　英雄,168974,ｱﾝｽﾘｳﾑ ｱﾝﾄﾞﾚｱﾅﾑ,6,2,愛知県
50,(株)花卉園芸新聞社賞,冨永　力,168961,ﾍﾟﾍﾟﾛﾐｱ'ﾌｫﾚｯﾄ',3.5,15,愛知県
51,(株)誠文堂新光社「農耕と園芸」賞,稲石　芳亘,169000,ﾐﾆｶﾝﾖｳ,2.5,15,愛知県
52,(株)草土出版賞,近藤　雄三,169058,ﾄﾗﾌｱﾅﾅｽ,6,3,愛知県
53,愛知豊明花き流通協同組合理事長賞,太田　雅彦,169210,ｱﾝｽﾘｳﾑ ｱﾝﾄﾞﾚｱﾅﾑ,4,12,愛知県
54,日本植物運輸（株）社長賞,大岩　徳夫,168937,ｺﾙｼﾞﾘﾈ A.'ﾚｯﾄﾞｽﾀｰ',7,1,愛知県
101,努力賞,花井　充,170008,ﾕｰﾌｫﾙﾋﾞｱ(ﾀﾆｸ),3,12,愛知県
102,アイデア賞,花井　充,169996,ｻﾝｾﾍﾞﾘｱ,4.5,8,愛知県
