特賞フラグ,特賞名,代表者,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
1,農林水産大臣賞,太田　克幸,274736,ﾈﾍﾟﾝﾃｽ'ﾙｲｰｻﾞ',5,3,愛知県
2,生産局長賞,皿井　昌幸,274028,ﾈｵﾚｹﾞﾘｱ'ﾌｧｲﾔｰﾎﾞｰﾙ',7,1,愛知県
3,東海農政局長賞,石川　孝治,274016,ﾍﾟﾍﾟﾛﾐｱ ｶﾍﾟﾗｰﾀ'ﾛｯｿ',3.5,12,愛知県
4,愛知県知事賞（豊明花き㈱社長賞）,小久保　勝大,273826,ﾌﾟﾗﾃｨｾﾘｳﾑ(ｺｳﾓﾘﾗﾝ),6,4,愛知県
5,岐阜県知事賞(豊成会会長賞),高木　兼雄,275929,ｾﾗｷﾞﾈﾗ ｱﾎﾟﾀﾞ,3.5,10,岐阜県
6,三重県知事賞(豊和会会長賞),伊藤　好博,274925,ﾐﾙｸﾌﾞｯｼｭ'ｲｴﾛｰﾏｼﾞｯｸ',7,1,三重県
7,名古屋市長賞,長島　昭彦,274385,ｱﾛｶｼｱ ｱﾏｿﾞﾆｶ'ﾎﾟﾘｰ',7,1,愛知県
8,豊明市長賞,花井　充,274011,ﾌﾘｰｾｱ,4.5,8,愛知県
9,愛知県経済農業協同組合連合会会長賞,皿井　喜清,273949,ﾄｯｸﾘﾗﾝ'ﾎﾟﾆｰﾃｰﾙ',15,1,愛知県
10,愛知県花き温室園芸組合連合会会長賞,水谷　滝光,274683,ﾓﾝｽﾃﾗ'ｼﾞｪｲﾄﾞｳｲﾝｸﾞ',8,1,愛知県
11,岐阜県園芸特産振興会会長賞,加藤　孝義,271748,ｿﾃﾂ,6,4,岐阜県
12,三重県花植木振興会会長賞,中村　延幸,274911,ｾﾀﾞﾑ,3,28,三重県
13,NHK名古屋放送局長賞,伊藤　行道,273921,ｶﾗﾃｱ ﾏｺﾔﾅ,6,5,愛知県
14,豊明市商工会会長賞,大岩　辰男,274426,ｼｪﾌﾚﾗ A.'ﾊｯﾋﾟｰｲｴﾛｰ',7,1,愛知県
15,屋内緑化推進協議会会長賞,杉浦　博樹,274459,ﾌｨｶｽ ﾙﾋﾞｷﾞﾉｰｻ(ﾌﾗﾝｽｺﾞﾑ),10,1,愛知県
16,(公社)園芸文化協会会長賞,鈴木　正吉,274361,ﾌｨｶｽ B.'ｽﾀｰﾗｲﾄBｸｲｰﾝ',7,1,愛知県
17,ＮＨＫ出版賞,小松　英雄,274390,ｱﾝｽﾘｳﾑ A.'ｾﾝﾌﾟﾚ',8,1,愛知県
18,東海地域花き普及･振興協議会会長賞,神谷　幹秀,274950,ﾗｾﾝｸﾛﾄﾝ'ｽｸﾙｷｰ',4,11,愛知県
19,愛知豊明花き流通(協)理事長賞,杉原　利比古,273925,ﾎﾟﾄｽ,10,1,愛知県
20,日本植物運輸(株)社長賞,鷲尾　昭夫,274685,ﾎﾟﾄｽ'ｴﾝｼﾞｮｲ',5,6,愛知県
94,（株）誠文堂新光社「農耕と園芸」賞,山本　勲,274538,ﾌｨｶｽ D.(ｺﾊﾞﾝﾎﾞﾀﾞｲｼﾞｭ),7,1,愛知県
